PWS ID,PWS Name,PWS Type,Owner Type
CA4800801,NEIL'S SERVICE CENTER,Non-Transient non-community system,Private
CA4901401,LANCASTER ESTATE WINERY,Transient non-community system,Private
CA3107342,LINCOLN HIGH SCHOOL FARM,Non-Transient non-community system,Local government
CA1502561,CHEVRON SAN JOAQUIN,Non-Transient non-community system,Private
CA3100014,BAKER RANCH WATER CORP,Community water system,Private
CA5500148,CHINESE CAMP SCHOOL,Non-Transient non-community system,Local government
CA2300620,SEAFOAM LODGE,Transient non-community system,Private
CA3600532,CAMP SKY MEADOWS,Transient non-community system,Private
CA3103835,LAKEVIEW HILLS COMMUNITY ASSOC,Community water system,Private
CA4200944,SHOESTRING WINERY,Transient non-community system,Private
CA3700782,FALLBROOK KAMP RETREAT,Transient non-community system,Private
CA1000244,SHADY LAKES MOBILE HOME PARK,Community water system,Private
CA5400526,"WESPAK, INC.",Non-Transient non-community system,Private
CA3600149,"OG INVESTMENTS, LLC",Transient non-community system,Private
CA4010016,LOS OSOS COMMUNITY SERVICES DISTRICT,Community water system,Local government
CA3600386,FOOTHILL ESTATES MHP,Community water system,Private
CA3310029,"PERRIS, CITY OF",Community water system,Local government
CA3310082,NORTH PERRIS WATER SYSTEM,Community water system,Private
CA0605002,MORNING STAR PKG. CO.-WMS.,Non-Transient non-community system,Private
CA2702539,SCHEID VINEYARD WS,Non-Transient non-community system,Private
CA2702575,TREE BONES RESORT WS,Transient non-community system,Private
CA2702544,SANCTUARY BIBLE CHURCH WS,Transient non-community system,Private
CA5100172,ENCINAL ELEMENTARY SCHOOL,Non-Transient non-community system,Local government
CA1910079,"LYNWOOD-CITY, WATER DEPT.",Community water system,Local government
CA4100553,PIGEON POINT YOUTH HOSTEL,Transient non-community system,State government
CA4110029,BUTANO STATE PARK - CSP,Transient non-community system,State government
CA4100575,CSP - ANO NUEVO STATE RESERVE,Transient non-community system,State government
CA3710002,VALLECITOS WD,Community water system,Local government
CA5403200,OL' BUCKAROO,Transient non-community system,Local government
CA2702595,CACHAGUA COMM CTR WS,Non-Transient non-community system,Local government
CA2702373,PHENEGER CREEK WS,Non-Transient non-community system,Private
CA2702466,SAN VICENTE MWC,Community water system,Private
CA2702503,CARMEL VALLEY TENNIS CAMP WS,Transient non-community system,Private
CA2701681,EXXON STATION WS,Transient non-community system,Private
CA2400315,MERCED FRUIT BARN,Transient non-community system,Private
CA3500581,RANCHO SAN JOAQUIN MWC,Community water system,Private
CA2701232,OLD NATIVIDAD RD WS #01,Transient non-community system,Private
CA2701935,MOUNT TORO RANCHOS MWA,Community water system,Private
CA4210013,SOLVANG WATER DIVISION,Community water system,Local government
CA2300591,PINE MOUNTAIN MUTUAL WATER CO.,Community water system,Private
CA1503305,EL TACO LOCO,Transient non-community system,Private
CA2400328,GARCIA FARMS PRODUCE,Transient non-community system,Private
CA1009120,RAU DAIRY,Community water system,Private
CA5103335,LIVE OAK CHILD CARE CENTER,Non-Transient non-community system,Private
CA1000565,USDA AGRICULTURAL RESEARCH SERVICE,Non-Transient non-community system,Federal government
CA5510851,CDCR - SIERRA CONSERVATION CENTER,Community water system,State government
CA2400062,SNELLING MERCED FALLS SCHOOL,Non-Transient non-community system,Local government
CA4900912,SALT & STONE RESTAURANT,Transient non-community system,Private
CA3301939,JEWEL DATE CO. INC.,Non-Transient non-community system,Private
CA3301373,OASIS DATE GARDENS,Non-Transient non-community system,Private
CA3301935,"BAGDASARIAN PACKING THERMAL, LLC",Non-Transient non-community system,Private
CA3301143,CENTRO MEDICO OASIS,Non-Transient non-community system,Private
CA2701446,LUCIA WS,Transient non-community system,Private
CA2700552,ECHO VALLEY SCHOOL WS,Non-Transient non-community system,Local government
CA2700577,ELKHORN SCHOOL WS,Non-Transient non-community system,Local government
CA2700705,PRUNEDALE SCHOOL WS,Non-Transient non-community system,Local government
CA2702490,CENTRAL BAY HIGH SCHOOL WS,Non-Transient non-community system,Local government
CA2701297,CARMEL BY THE RIVER RV PARK WS,Transient non-community system,Private
CA2600530,CRYSTAL CRAG WATER & DEVELOPMENT ASSOC.,Transient non-community system,Private
CA2701687,VALLEY OAKS MHP WS,Community water system,Private
CA2400307,CRESSEY STORE,Transient non-community system,Private
CA2300958,PENNYROYAL FARM,Transient non-community system,Private
CA1503684,148 EAST WATER SYSTEM,Community water system,Private
CA3901304,ENCLAVE AT THE DELTA,Community water system,Private
CA0900631,CAMP CONCORD,Transient non-community system,Local government
CA5500360,SIERRA PACIFIC INDUSTRIES,Non-Transient non-community system,Private
CA3301222,DOWLING FRUIT ORCHARD,Transient non-community system,Private
CA1105007,"FARMERS BREWING CO.,LLC",Transient non-community system,Private
CA0605012,ADAM'S VEGETABLE OILS,Non-Transient non-community system,Private
CA0810003,BERTSCH OCEAN VIEW CSD,Community water system,Local government
CA4200630,LOS PRIETOS BOY'S CAMP,Non-Transient non-community system,Local government
CA1500341,SIERRA BELLA MUTUAL WATER COMPANY,Community water system,Private
CA4200618,MIDLAND SCHOOL,Community water system,Private
CA1502600,WEGIS MUTUAL WATER COMPANY,Community water system,Private
CA4901278,CLINE CELLARS,Non-Transient non-community system,Private
CA4901310,JACUZZI WINERY,Transient non-community system,Private
CA5500090,DARDANELLES RESORT,Transient non-community system,Private
CA4901244,HUMANE SOCIETY OF SONOMA COUNTY,Non-Transient non-community system,Private
CA4900946,TRENTADUE WINERY,Transient non-community system,Private
CA2701152,FLORICULTURA PACIFIC WS,Non-Transient non-community system,Private
CA2700738,SAN MIGUEL WS #01,Community water system,Private
CA2701814,PRUNEDALE PLAZA WS,Transient non-community system,Private
CA2701956,PIONEER PLACE MWS,Community water system,Private
CA2701789,HOLLY HILLS MWC,Community water system,Private
CA2700606,HIDDEN VIEWS MHP WS,Community water system,Private
CA2701279,COASTLANDS MWS (POST CREEK),Community water system,Private
CA2700548,DOLAN RD MWC,Community water system,Private
CA2701837,MERIDIAN RD WS #09,Non-Transient non-community system,Private
CA2702551,LOMA VISTA INN WS,Transient non-community system,Private
CA3601027,APPLE VALLEY FAITH CENTER,Transient non-community system,Private
CA4200973,FOLDED HILLS WINERY,Transient non-community system,Private
CA2000890,HOUNDS TOOTH INN,Transient non-community system,Private
CA2000817,SUGAR PINE PIZZA,Transient non-community system,Private
CA2300518,NELSON FAMILY VINEYARDS,Non-Transient non-community system,Private
CA2800066,MIRA WINERY,Transient non-community system,Private
CA1800585,LASSEN COMMUNITY COLLEGE DIST.,Non-Transient non-community system,Local government
CA4500063,CEDAR CREEK MOBILEHOME PARK,Community water system,Private
CA2700999,OAK PARK WS,Transient non-community system,Local government
CA4500338,ANSELMO VINEYARDS / SEVEN HILL LLC,Transient non-community system,Private
CA2400078,TURLOCK GOLF & COUNTRY CLUB,Non-Transient non-community system,Private
CA5400509,PANORAMA HEIGHTS PROP OWNERS,Transient non-community system,Private
CA1000540,"BHANDAL, INC",Transient non-community system,Private
CA2400113,SCHELBY SCHOOL,Non-Transient non-community system,Local government
CA3500913,EARTHBOUND FARM,Non-Transient non-community system,Private
CA3610850,CALIFORNIA INSTITUTION FOR MEN,Community water system,State government
CA2400250,MINTURN HULLER,Transient non-community system,Private
CA0600003,GRIMES BOAT AND LANDING,Transient non-community system,Private
CA5401004,"STYROTEK, INC.",Non-Transient non-community system,Private
CA2400085,FIREBAUGH TRAVEL PLAZA (SW),Transient non-community system,Private
CA0900560,FLL MUTUAL,Transient non-community system,Private
CA0900638,PHILLIPS TRACT MUTUAL WATER COMPANY,Transient non-community system,Private
CA5000383,TAQUERIA RANCHO ALEGRE,Transient non-community system,Private
CA4901361,ANABA WINERY,Transient non-community system,Private
CA4301011,NESTLDOWN RANCH,Transient non-community system,Private
CA5400602,EAGLE'S NEST RESORT,Community water system,Private
CA2800625,ADVENTIST HEALTH - ST. HELENA HOSPITAL,Community water system,Private
CA1000424,PRATHER WATER DISTRICT,Non-Transient non-community system,Private
CA2310009,BROOKTRAILS TOWNSHIP CSD,Community water system,Local government
CA4910020,SONOMA COUNTY WATER AGENCY,Community water system,Local government
CA5500194,"PEPPERY BAR AND GRILL, THE",Transient non-community system,Private
CA1503667,DERREL'S MINI STORAGE #66,Transient non-community system,Private
CA4900674,PINE HILL TERRACE MOBILE HOME PARK,Community water system,Private
CA4110016,TOWN OF HILLSBOROUGH,Community water system,Local government
CA4110001,MID-PENINSULA WATER DISTRICT,Community water system,Local government
CA4100513,PESCADERO HIGH SCHOOL,Non-Transient non-community system,Local government
CA1000247,SHERWOOD FOREST MHP,Community water system,Private
CA5403062,COMFORT INN & SUITES,Transient non-community system,Private
CA2700766,STRAWBERRY RD WS #06,Community water system,Private
CA2700535,JOST POST WA,Community water system,Private
CA2701273,RIVERSIDE CAMPGROUND WS,Transient non-community system,Private
CA2701945,BIG SUR CAMPGROUND WS,Transient non-community system,Private
CA2702336,MONTEREY BAY NURSERY WS,Non-Transient non-community system,Private
CA1503662,ALTA WIND PROJECT O&M FACILITY WATER SYS,Non-Transient non-community system,Private
CA0105016,MOUNTAIN HOUSE BAR,Transient non-community system,Private
CA1200501,ALDERPOINT COUNTY WATER,Community water system,Local government
CA3600756,OAK GLEN CHRISTIAN CONFERENCE CENTER,Transient non-community system,Private
CA3700936,RANCHO ESTATES MUTUAL WATER CO.,Community water system,Private
CA3710012,RANCHO PAUMA MUTUAL WC,Community water system,Private
CA2702135,FOOTHILL WA,Community water system,Private
CA2700702,PRUNEDALE MWC,Community water system,Private
CA3610015,CRESTLINE VILLAGE CWD - DIVISION 10,Community water system,Local government
CA1500290,NORTH MUROC MUTUAL WATER COMPANY,Community water system,Private
CA2310002,ROGINA WATER COMPANY INC.,Community water system,Local government
CA1700738,BOATIQUE WINES,Transient non-community system,Private
CA1900616,THE RIVER COMMUNITY,Community water system,Private
CA2701951,MASSA ESTATE VINYEARDS WS (PREV HELLER),Transient non-community system,Private
CA3610086,WEST END CONSOLIDATED WATER COMPANY,Community water system,Local government
CA5403144,ALI MUTUAL WATER CO,Community water system,Private
CA2300811,ALBION RIVER INN,Transient non-community system,Private
CA2800970,HOWELL MOUNTAIN SCHOOL,Non-Transient non-community system,Local government
CA4900578,CARMET BY THE SEA WATER COMPANY,Community water system,Private
CA1610700,LEMOORE NAVAL AIR STATION,Community water system,Federal government
CA1502690,"DUNE 3 MUTUAL WATER COMPANY, LLC",Community water system,Private
CA5410015,"TULARE, CITY OF",Community water system,Local government
CA1500516,TUT BROTHERS FARM #96,Community water system,Private
CA1500494,WILSON ROAD WATER COMMUNITY,Community water system,Private
CA0410006,SFWP-MINERS RANCH,Community water system,Local government
CA0410012,SFWP-BANGOR,Community water system,Local government
CA0400137,SFWP - SLY CREEK CAMPGROUND,Transient non-community system,Private
CA0400138,SFWP - STRAWBERRY CAMPROUND,Transient non-community system,Local government
CA4400571,DAVENPORT COUNTY SANITATION,Community water system,Local government
CA4400595,VILLA DEL MONTE MWC,Community water system,Private
CA3500911,CREEKBRIDGE MUTUAL WATER COMPANY,Community water system,Private
CA3600185,OAK GLEN DOMESTIC WATER,Community water system,Private
CA2701906,LAKE SAN ANTONIO PARK WS,Community water system,Private
CA2700669,ORCHARD LN WS #02,Community water system,Private
CA2702293,ROD MCLELLAN BOTANICALS WS,Non-Transient non-community system,Private
CA1800576,LONG VALLEY CHARTER SCHOOL,Non-Transient non-community system,Local government
CA1800511,LAKE FOREST MUTUAL W.C.,Community water system,Private
CA3400113,CLIFF'S MARINA,Transient non-community system,Private
CA3400226,VIRGIN STURGEON,Transient non-community system,Private
CA3400448,SAN ANDREAS RV PARK,Transient non-community system,Private
CA3400278,AMERICAN RIVER COLLEGE,Non-Transient non-community system,State government
CA3400434,CARSON LANDSCAPE INDUSTRIES,Non-Transient non-community system,Private
CA3400208,SAC VALLEY TRUCK STOP,Transient non-community system,Private
CA3400428,TRAP THE (SWS),Transient non-community system,Private
CA3400459,ON THE Y,Transient non-community system,Private
CA3400303,DELTA BEACH RESORTS [SWS],Transient non-community system,Private
CA3400456,STAFFORD MEAT COMPANY,Non-Transient non-community system,Private
CA3400356,OWL HARBOR,Transient non-community system,Private
CA3400166,WALNUT GROVE MARINA,Transient non-community system,Private
CA3400444,SHERMAN LAKE MARINA,Transient non-community system,Private
CA3400151,RYDE HOTEL,Transient non-community system,Private
CA3400150,DELTA CROSSING MHP,Community water system,Private
CA3400286,CORDOVA GOLF COURSE,Transient non-community system,Private
CA0900319,MT AUKUM SQUARE,Transient non-community system,Private
CA3901310,DARRIGOS WATER SYSTEM,Transient non-community system,Private
CA0105018,PURPLE ORCHID RESORT SPA,Transient non-community system,Private
CA5601721,USFS - CHUCHUPATE RANGER STATION,Non-Transient non-community system,Federal government
CA0610004,CITY OF WILLIAMS,Community water system,Local government
CA3700970,YOGA CENTER RETREAT,Transient non-community system,Private
CA3701240,YOGA CENTER MOTHER'S KITCHEN,Transient non-community system,Private
CA3702706,BOULEVARD PINES MOBILE HOME AND RV PARK,Transient non-community system,Private
CA3601131,BURGER KING #9310,Transient non-community system,Private
CA3600404,SHADY LANE RV CAMP,Transient non-community system,Private
CA4500243,PG&E - PSEA  CAMP BRITTON,Transient non-community system,Private
CA4500244,PG&E - PSEA CAMP SHASTA,Transient non-community system,Private
CA4400598,"PURESOURCE WATER, INC",Community water system,Private
CA4910012,"SONOMA, CITY OF",Community water system,Local government
CA3901470,DELRIO MARKET & DELI,Transient non-community system,Private
CA3900661,MAPACHE TRAILER PARK,Community water system,Private
CA3900964,SAHARA MOBILE COURT,Community water system,Private
CA3901120,WIENERSCHNITZEL,Transient non-community system,Private
CA3900568,CARIBOU MOBILE PARK PWS,Community water system,Private
CA3901182,FINLEYS,Transient non-community system,Private
CA3901425,MORADA PRODUCE,Non-Transient non-community system,Private
CA3900596,VILLA CEREZOS,Community water system,Private
CA3901466,PARK GREEN HOUSES WATER SYSTEM,Non-Transient non-community system,Private
CA3901438,WOODBRIDGE PIZZA WATER SYSTEM,Transient non-community system,Private
CA3901450,GICO VALLEY FARMS,Transient non-community system,Private
CA3902189,GICO MANAGEMENT,Non-Transient non-community system,Private
CA3900585,RODEWAY INN,Transient non-community system,Private
CA3901382,O-G PACKING CO,Non-Transient non-community system,Private
CA1502799,BEAR MOUNTAIN TRUCK STOP,Transient non-community system,Private
CA4500245,PG&E - PSEA CAMP PIT,Transient non-community system,Private
CA3200301,PSEA CAMP ALMANOR,Transient non-community system,Private
CA4901407,SANTA ROSA LIQUOR AND DELI,Transient non-community system,Private
CA0500098,CALAVERAS COUNTY AIRPORT,Transient non-community system,State government
CA1600605,BAKER COMMODITIES INC.,Non-Transient non-community system,Private
CA4810035,RUSH RANCH OPEN SPACE,Transient non-community system,Private
CA0500050,SALT SPRINGS VALLEY RES. & CAMPGRND,Transient non-community system,Private
CA1502691,WILDLAND TRAINING CENTER,Non-Transient non-community system,Local government
CA2800051,CHAPPELLET WINERY,Transient non-community system,Private
CA3700959,WARNER SPRINGS RANCH RESORT LLC,Non-Transient non-community system,Private
CA1910013,BELLFLOWER - SOMERSET MWC,Community water system,Private
CA1000249,COVE ISLAND RESORT,Transient non-community system,Private
CA0900102,GOLD BEACH PARK,Community water system,Private
CA3200018,SIERRA BIBLE CAMP,Transient non-community system,Private
CA0300089,JEFF RUNQUIST WINERY,Transient non-community system,Private
CA0409181,BLUE OAK TERRACE MUTUAL,Community water system,Private
CA0300025,HAM'S STATION,Transient non-community system,Private
CA0710800,DWR DELTA FIELD DIVISION - BANKS PP,Non-Transient non-community system,State government
CA2801037,SEQUOIA GROVE VINEYARDS,Non-Transient non-community system,Private
CA2800052,ITALICS WINERY,Transient non-community system,Private
CA1503232,SOUTH KERN INDUSTRIAL CENTER,Non-Transient non-community system,Private
CA5800920,WILLOW CREEK CAMPGROUND,Transient non-community system,Private
CA4400902,GIZDICH HOME RANCH,Transient non-community system,Private
CA1600607,HANFORD FIRST BAPTIST CHURCH,Transient non-community system,Private
CA4400903,ELEVATE ADDICTION SERVICES,Transient non-community system,Private
CA0300028,AMADOR HARVEST INN,Transient non-community system,Private
CA0300095,AMADOR FLOWER FARM,Transient non-community system,Private
CA0300036,BEAR RIVER LAKE RESORT,Transient non-community system,Private
CA0300065,BEAR RIVER SUMMER HOME TRACT,Transient non-community system,Private
CA0300074,SO. SILVER LAKE HOMEOWNERS,Transient non-community system,Private
CA0300077,"CHARLES SPINETTA WINERY, LLC",Transient non-community system,Private
CA0300010,DRYTOWN COUNTY WATER DISTRICT,Transient non-community system,Local government
CA0300524,"MP ASSOCIATES, INC.",Non-Transient non-community system,Private
CA3010100,CITY OF LA PALMA,Community water system,Local government
CA4910021,BODEGA BAY PUBLIC UTILITY DISTRICT,Community water system,Local government
CA2800037,KATHRYN HALL WINERY,Transient non-community system,Private
CA3705056,JESS MARTIN COUNTY PARK,Transient non-community system,Local government
CA3705058,SYCAMORE CANYON / GOODAN RANCH,Transient non-community system,Local government
CA3705065,OAKOASIS OPEN SPACE PRESERVE,Transient non-community system,Local government
CA3705072,SANTA MARGARITA COUNTY PRESERVE,Transient non-community system,Local government
CA3705068,ROUGH ACRES FOUNDATION,Non-Transient non-community system,Private
CA3705070,WYNOLA FARMS WATER DISTRICT,Transient non-community system,Private
CA5000487,J & J FARM FRESH PRODUCE & BAKERY,Transient non-community system,Private
CA5000060,CASA DE AMIGOS MOBILE HOME PARK,Community water system,Private
CA1503543,SUMMIT INDUSTRIAL PARK WATER SYSTEM,Non-Transient non-community system,Private
CA5000577,WESTLEY PROPERTY LLC,Transient non-community system,Private
CA4901400,TRATTORE WINERY,Transient non-community system,Private
CA1510002,BORON CSD,Community water system,Local government
CA4901147,"TRADITIONAL MEDICINALS, INC.",Non-Transient non-community system,Private
CA3600376,BIG BEND RESORT,Transient non-community system,Private
CA3600370,WINDMILL RESORT,Transient non-community system,Private
CA5610500,CHANNEL ISLANDS NATIONAL PARK,Transient non-community system,Federal government
CA1510001,ARVIN COMMUNITY SERVICES DIST,Community water system,Local government
CA3600022,BAKER COMMUNITY SERVICES DISTRICT,Community water system,Local government
CA1000560,CENTRAL CA ALMOND GROWERS ASSN,Transient non-community system,Private
CA3900974,STAR MOTEL,Transient non-community system,Private
CA3900709,EL RANCHO MOTEL,Transient non-community system,Private
CA3900592,TOWN & COUNTRY INN,Transient non-community system,Private
CA3901006,ARP MINIMART CORP WS,Transient non-community system,Private
CA3900578,ST FRANCIS MOTEL,Transient non-community system,Private
CA3901428,IDLE WILD MARKET,Transient non-community system,Private
CA3901176,PHILLIPS FARMS,Non-Transient non-community system,Private
CA3901323,COZAD WATER SYSTEM,Non-Transient non-community system,Private
CA3901445,PODESTA PACKING WATER SYSTEM,Transient non-community system,Private
CA3900559,WINE COUNTRY APARTMENTS,Community water system,Private
CA4300929,MURIEL WRIGHT RESIDENTIAL CENTER,Transient non-community system,Local government
CA5400921,CEDAR SLOPE MWC,Transient non-community system,Private
CA3902187,WEST 11TH STREET CHEVRON WATER SYSTEM,Transient non-community system,Private
CA3900593,UNION POINT MARINA BAR & GRILL INC,Transient non-community system,Private
CA3901482,OASIS MARKET & PRODUCE,Transient non-community system,Private
CA3901318,S M S BRINERS INC,Non-Transient non-community system,Private
CA3901041,LODI AIRPORT CAFE,Transient non-community system,Private
CA3901354,LARSEN RANCH 39-40/WATER SYSTEM,Non-Transient non-community system,Private
CA3901124,DENNY BOYS WATER SYSTEM,Transient non-community system,Private
CA0900300,KYBURZ MUTUAL WATER COMPANY,Community water system,Private
CA0900116,MOTHER LODE WATER SYSTEM,Transient non-community system,Private
CA0901260,CODY WATER ASSOCIATION,Transient non-community system,Private
CA2400341,PACIFIC UNION PACKING,Transient non-community system,Private
CA3601105,HI SAHARA OASIS,Transient non-community system,Private
CA3901344,ESCALON LIVESTOCK MKT,Transient non-community system,Private
CA2702537,PREMIUM PACKING INC WS,Transient non-community system,Private
CA3900653,ISLANDER MARINA,Community water system,Private
CA3901457,CLEMENTS RIDGE PRODUCE,Transient non-community system,Private
CA3900732,V & P TRAILER COURT WATER SYSTEM,Community water system,Private
CA3901011,COUNTRY MARKET,Transient non-community system,Private
CA3901487,RIVER ROAD PRODUCE WATER SYSTEM,Transient non-community system,Private
CA3901116,NAVARRA WATER SYSTEM,Transient non-community system,Private
CA3901345,NORMANS NURSERY,Non-Transient non-community system,Private
CA3901360,HOLIDAY HARBOR MARINA,Transient non-community system,Private
CA3901114,KING ISLAND TRAILER PARK WATER SYSTEM,Community water system,Private
CA3901400,VALLEY LANDSCAPING & MAINT INC,Non-Transient non-community system,Private
CA3410018,RIO LINDA/ELVERTA COMMUNITY WATER DIST,Community water system,Local government
CA1200823,ANGELINA,Transient non-community system,Private
CA2400245,DELHI KINGDOM HALL,Transient non-community system,Private
CA1310016,GSA CALEXICO PORT OF ENTRY,Non-Transient non-community system,Federal government
CA3710048,GSA TECATE PORT OF ENTRY,Non-Transient non-community system,Federal government
CA5200600,GURNSEY AVENUE MUTUAL WATER SYSTEM,Community water system,Private
CA0105019,SUNOL SUPER STOP,Transient non-community system,Private
CA3302062,SPARTAN VETERINARY SERVICES,Transient non-community system,Private
CA3900965,COLLEGEVILLE MARKET & CAFE,Transient non-community system,Private
CA3610011,CEDARPINES PARK MWC,Community water system,Private
CA4200974,MAIN STREET PRODUCE,Non-Transient non-community system,Private
CA5400637,BUCKEYE TREE LODGE,Transient non-community system,Private
CA5400644,SEQUOIA VILLAGE INN,Transient non-community system,Private
CA5400750,SEQUOIA CAMPGROUND AND LODGE,Transient non-community system,Private
CA1700592,KONOCTI SHORES,Community water system,Private
CA5700608,CANYON CREEK RESORT,Transient non-community system,Private
CA4400572,FERN GROVE WATER CLUB,Community water system,Private
CA4400664,JARDINES DEL VALLE,Community water system,Private
CA1000529,NEW HOPE COMMUNITY CHURCH,Transient non-community system,Private
CA3301990,AMEZCUA - GARCIA WATER,Community water system,Private
CA3301642,RIVER OASIS,Transient non-community system,Private
CA3400296,SAC CITY MOBILE HOME COMMUNITY LP,Community water system,Private
CA4400755,MONTEREY BAY ACADEMY,Community water system,Private
CA4400906,MYSTERY SPOT SNACK SHACK,Transient non-community system,Private
CA3600770,CRAZZY'S WASEWAGAN CAMP,Transient non-community system,Private
CA1900636,EL RANCHO MOBILE HOME PARK,Community water system,Private
CA2300845,POINT ARENA LIGHTHOUSE,Transient non-community system,Private
CA2800536,GRGICH HILLS,Non-Transient non-community system,Private
CA1000620,DOLLAR GENERAL STORE  #15320,Transient non-community system,Private
CA5700734,DOLLAR GENERAL STORE #16171,Transient non-community system,Private
CA4710007,"MONTAGUE, CITY OF",Community water system,Local government
CA5602130,SOLANO VERDE MUTUAL WATER CO,Community water system,Private
CA3301396,LOOKOUT ROADHOUSE,Transient non-community system,Private
CA1700650,MANDALA WATER SYSTEM,Transient non-community system,Private
CA2900533,HARMONY RIDGE RESORT,Transient non-community system,Private
CA4810017,WESTERN RAILWAY MUSEUM,Transient non-community system,Private
CA2000573,THE VILLAGE,Community water system,Private
CA3301011,STONE CREEK WATER CO.,Community water system,Private
CA3610012,"CHINO, CITY OF",Community water system,Local government
CA1910156,"BEVERLY HILLS-CITY, WATER DEPT.",Community water system,Local government
CA1000005,BIG CREEK COMMUNITY SERV DIST,Community water system,Local government
CA2900529,GOLD COUNTRY HOME PARK - WATER SYSTEM,Community water system,Private
CA1510703,CHINA LAKE NAVAL AIR WEAPONS STATION,Community water system,Federal government
