PWS ID,PWS Type,PWS Name,Owner Type
CA2600582,Transient non-community system,YMCA CAMP OF LOS ANGELES #1,Private
CA0900319,Transient non-community system,MT AUKUM SQUARE,Private
CA3603610,Community water system,CRYSTAL LAKE PROP OWNERS,Private
CA3610127,Non-Transient non-community system,"San Bernardino CSA No. 70, Zone EV-1",Local government
CA4200740,Transient non-community system,CHANNEL ISLAND ADVENTURERS,Private
CA4410015,Community water system,LOMPICO COUNTY WATER DISTRICT,Local government
CA2800016,Non-Transient non-community system,CULINARY INSTITUTE OF AMERICA,Private
CA4110023,Community water system,CITY OF SAN BRUNO,Local government
CA1010004,Community water system,COALINGA-CITY,Local government
CA4901401,Transient non-community system,LANCASTER ESTATE WINERY,Private
CA4010010,Community water system,SAN MIGUEL COMMUNITY SERVICES DISTRICT,Local government
CA1510802,Community water system,KERN VALLEY STATE PRISON,State government
CA4300839,Transient non-community system,SAN MARTIN LIONS CLUB,Private
CA1910085,Community water system,MAYWOOD MUTUAL WATER CO. #2,Private
CA1000612,Transient non-community system,CLOVIS CASTLE,Private
CA3010070,Community water system,GOLDEN STATE WC - YORBA LINDA,Private
CA3010047,Community water system,GOLDEN STATE WC - COWAN HEIGHTS,Private
CA3010035,Community water system,GOLDEN STATE WC - PLACENTIA,Private
CA3010022,Community water system,GOLDEN STATE WC - WEST ORANGE,Private
CA5301002,Community water system,LEWISTON COMMUNITY SERVICES DISTRICT,Private
CA1000570,Community water system,JUVENILE JUSTICE CAMPUS,Local government
CA5510026,Community water system,PHOENIX LAKE ESTATES CC MWC,Private
CA2210002,Community water system,PONDEROSA BASIN MUTUAL WTR CO,Private
CA1910040,Community water system,"EL SEGUNDO-CITY, WATER DEPT.",Local government
CA5500141,Transient non-community system,CAMP TAWONGA,Private
CA5500060,Community water system,MI-WUK HEIGHTS MWC,Private
CA5602408,Non-Transient non-community system,RIO SCHOOL DIST/ RIO REAL SCHOOL,Local government
CA5602406,Non-Transient non-community system,RIO SCHOOL DIST/RIO DEL VALLE SCHOOL,Local government
CA2810002,Community water system,"CALISTOGA, CITY OF",Local government
CA2800972,Transient non-community system,NINE SUNS WINERY,Private
CA4600018,Community water system,SIERRAVILLE P.U.D.,Local government
CA5500113,Transient non-community system,HEAVENLY HILLS CHRISTIAN CAMP,Local government
CA1300661,Non-Transient non-community system,CALVARY CHAPEL CHURCH,Private
CA3705069,Transient non-community system,COUNTY LINE BBQ AND CAFE,Private
CA3400445,Transient non-community system,BING S MARKET,Private
CA3400462,Transient non-community system,KING S SKATE COUNTRY,Private
CA3200193,Transient non-community system,PNF Nervino Fire Station,Federal government
CA0900420,Transient non-community system,CRYSTAL BASIN MOUNTAIN RESORT,Private
CA2702762,Community water system,LONOAK RD WS #02,Private
CA1000464,Transient non-community system,S&K MINI MART,Private
CA3301141,Transient non-community system,Aguanga Market Water System,Private
CA3601176,Transient non-community system,JOHNSON VALLEY COMMUNITY CENTER,Private
CA4010001,Community water system,"ARROYO GRANDE, WATER DEPARTMENT",Local government
CA2410950,Non-Transient non-community system,DWR - SAN LUIS DIVISION O&M,State government
CA2801012,Non-Transient non-community system,ALPHA AND OMEGA WINERY,Private
CA1600507,Community water system,HARDWICK WATER GROUP,Private
CA2210851,Community water system,CDF  & FP - MT. BULLION,State government
CA5110002,Community water system,CITY OF YUBA CITY,Local government
CA1502247,Community water system,DESERT BREEZE MOBILE HOME ESTATES,Public/Private
CA4901361,Transient non-community system,ANABA WINERY,Private
CA5100107,Community water system,SUTTER CO. WWD#1 (ROBBINS),Local government
CA5102005,Transient non-community system,LIVE OAK RECREATION AREA,Private
CA1100709,Transient non-community system,AFTON STORE,Private
CA4100604,Transient non-community system,NESTLDOWN RANCH,Private
CA2300839,Transient non-community system,CAMP MENDOCINO,Private
CA5400602,Community water system,EAGLE'S NEST RESORT,Private
CA1700704,Transient non-community system,SARATOGA SPRINGS,Private
CA1000072,Community water system,SHAVER LAKE POINT #2,Private
CA1000405,Community water system,DOYALS MOBILE HOME PARK,Private
CA5403203,Non-Transient non-community system,SMALL STEPS CHILD CARE CENTER,Private
CA3610702,Non-Transient non-community system,USMC YERMO ANNEX,Federal government
CA3610701,Community water system,USMC NEBO (BARSTOW),Federal government
CA4500014,Community water system,LAKESHORE HEIGHTS MUTUAL WATER,Private
CA4300578,Community water system,ANGELO LANE WATER COMPANY,Private
CA2410700,Community water system,CASTLE AIRPORT,Local government
CA5500268,Transient non-community system,LAKE DON PEDRO HOMEOWNERS,Private
CA1300653,Non-Transient non-community system,BORNT & SONS INC.,Private
CA5700514,Transient non-community system,BOGLE FAMILY LIMITED PARTNER,Private
CA2000785,Community water system,VALLEY TEEN RANCH,Private
CA2210939,Transient non-community system,SAVAGES TRADING POST,Private
CA2202048,Transient non-community system,INDIAN FLAT R V PARK AND CAMPGROUND,Private
CA2910011,Community water system,PLAVADA COMMUNITY ASSOCIATION,Private
CA0409189,Non-Transient non-community system,DAUTERMAN WELL,Private
CA0400175,Non-Transient non-community system,NORFIELD INDUSTRIES,Private
CA2410307,Transient non-community system,CDPR-DINOSAUR POINT,State government
CA2410306,Transient non-community system,CDPR-MEDEIROS,State government
CA2410305,Transient non-community system,CDPR-LOS BANOS CREEK,State government
CA2410304,Transient non-community system,CDPR FOUR RIVERS DISTRICT-SAN LUIS CREEK,State government
CA2410303,Transient non-community system,CDPR FOUR RIVERS DISTRICT-BASALT,State government
CA2410302,Transient non-community system,CDPR-HATFIELD,State government
CA2410301,Transient non-community system,CDPR-MCCONNELL,State government
CA2210933,Transient non-community system,BLM-BRICEBURG WATER SYSTEM,Federal government
CA5304102,Community water system,TRINITY VILLAGE WATER CO. F,Private
CA1503676,Transient non-community system,COUNTRYSIDE MARKET & RESTAURANTS,Private
CA2410010,Community water system,WINTON WATER & SANITARY DIST,Local government
CA3610708,Non-Transient non-community system,BARSTOW ARMY HELIPORT,Federal government
CA3610705,Community water system,US ARMY FORT IRWIN,Federal government
CA1700737,Transient non-community system,ONENESS INSTITUTE,Private
CA1110800,Non-Transient non-community system,VALLEY VIEW C.C,State government
CA3301143,Transient non-community system,Centro Medico Oasis,Private
CA2702800,Transient non-community system,JOLON RD WS #6,Private
CA1000483,Transient non-community system,SALWASSER DEHYDRATOR,Private
CA3200130,Transient non-community system,PRATTVILLE WATER ASSOCIATION,Private
CA1500344,Community water system,SOUTH KERN MUTUAL WATER COMPANY,Private
CA1500516,Community water system,TUT BROTHERS FARM #96,Private
CA3200078,Community water system,FRCCSD-OLD MILL RANCH,Local government
CA3500505,Transient non-community system,THOUSAND TRAILS SAN BENITO PRESERVE,Private
CA1710013,Community water system,CALLAYOMI COUNTY WATER DISTRICT,Local government
CA1000566,Non-Transient non-community system,FOSTER FARMS - CEDAR HATCHERY,Private
CA5500194,Transient non-community system,"PEPPERY BAR AND GRILL, THE",Private
CA5500182,Transient non-community system,BUMBLEBEE TRACT IMP ASSOC,Private
CA1200687,Community water system,RIVERBEND MOBILE HOME PARK,Private
CA4901004,Non-Transient non-community system,CALPINE (WEST FIELD OFFICE),Private
CA4901030,Non-Transient non-community system,CALPINE (GEYSERS ADMINISTRATION CENTER),Private
CA3107339,Community water system,FOLSOM LAKE MUTUAL WATER CO,Private
CA1000589,Transient non-community system,AUBERRY BRANCH LIBRARY,Local government
CA1000474,Transient non-community system,BEAR MOUNTAIN LIBRARY/ACT CNTR,Local government
CA1206002,Community water system,PALOMINO ESTATES M.W.C.,Private
CA1503667,Transient non-community system,DERREL'S MINI STORAGE #66,Private
CA4900674,Community water system,PINE HILL TERRACE MOBILE HOME PARK,Private
CA4110016,Community water system,HILLSBOROUGH WATER DEPT.,Local government
CA4110001,Community water system,MID-PENINSULA WATER DISTRICT,Local government
CA4100532,Transient non-community system,CUTTER SCOUT RESERVATION,Private
CA3500578,Community water system,LOS MADRONES MWC,Private
CA4410017,Community water system,SOQUEL CREEK WATER DISTRICT,Local government
CA5810005,Community water system,NEVADA ID - SMARTVILLE,Local government
CA3110026,Community water system,NEVADA ID - NORTH AUBURN,Local government
CA2910007,Community water system,NEVADA ID - CASCADE SHORES,Local government
CA2910006,Community water system,NEVADA ID - LOMA RICA,Local government
CA2910004,Community water system,"NEVADA ID - E. GEORGE, BANNER MOUNTAIN",Local government
CA2910023,Community water system,NEVADA ID - LAKE WILDWOOD,Local government
CA2910014,Community water system,NEVADA ID - LAKE OF PINES,Local government
CA3500806,Non-Transient non-community system,BLOSSOM HILL WINERY,Private
CA1500571,Community water system,"LUCKY 18 ON ROSAMOND, LLC",Private
CA4700513,Community water system,HORNBROOK C.S.D.,Local government
CA2310009,Community water system,BROOKTRAILS TOWNSHIP CSD,Local government
CA4310027,Community water system,SANTA CLARA VALLEY WATER DISTRICT,Local government
CA3500913,Non-Transient non-community system,EARTHBOUND FARM,Private
CA1500553,Community water system,RANCHOS DEL RIO,Private
CA1000609,Transient non-community system,AUBERRY LDS CHURCH,Private
CA4900892,Community water system,SUMMIT VIEW RANCH MUTUAL WATER CO.,Private
CA1700685,Transient non-community system,AIRPORT PROPERTIES,Private
CA1502044,Transient non-community system,CAMP TECUYA WATER SYSTEM,Private
CA1510025,Community water system,STALLION SPRINGS CSD,Local government
CA4901204,Non-Transient non-community system,BENZIGER FAMILY WINERY,Private
CA2400323,Transient non-community system,STEVINSON BAR AND GRILL,Private
CA4901408,Transient non-community system,WESTSIDE STORAGE WATER SYSTEM,Private
CA1910108,Community water system,"BELL GARDENS-CITY, WATER DEPT.",Local government
CA2000729,Community water system,SA#16 SUMNER HILL-WATER SYSTEM,Local government
CA2010011,Community water system,MADERA CO SA #1-INDIAN LAKES,Local government
CA2010009,Community water system,MADERA CO SA NO 19-ROLLING HILLS,Local government
CA2010008,Community water system,MADERA COUNTY M.D. #10A - MADERA RANCHOS,Local government
CA2010006,Community water system,MADERA CSA NO 3 PARKSDALE,Local government
CA2010004,Community water system,MADERA CMD NO 19 PARKWOOD,Local government
CA2000544,Community water system,MD#01 HIDDEN LAKE ESTATES,Local government
CA2000542,Transient non-community system,SA#02W WISHON COVE,Private
CA4901144,Non-Transient non-community system,COHN WINERY,Private
CA1502690,Community water system,"DUNE III WATER CO., LLC",Private
CA3200155,Community water system,FRCCSD HOT SPRINGS,Local government
CA5400880,Community water system,THE LAKES,Private
CA5410054,Transient non-community system,TULARE CITY WWTP,Local government
CA5410015,Community water system,"TULARE, CITY OF",Local government
CA4910014,Community water system,"ROHNERT PARK, CITY OF",Local government
CA3901481,Non-Transient non-community system,PNP STOCKTON #80,Private
CA1400011,Transient non-community system,MOUNT WHITNEY FISH HATCHERY,State government
CA1210008,Community water system,GARBERVILLE SANITARY DISTRICT,Private
CA0105016,Transient non-community system,MOUNTAIN HOUSE BAR,Private
CA1200501,Community water system,ALDERPOINT COUNTY WATER,Local government
CA3510300,Transient non-community system,CSP-FREMONT PEAK,State government
CA1910064,Community water system,LITTLEROCK CREEK IRRIGATION DIST.,Local government
CA0600008,Community water system,COLUSA CO. W.D. #1 - GRIMES,Local government
CA4900897,Non-Transient non-community system,RODNEY STRONG VINEYARDS,Private
CA0409187,Non-Transient non-community system,PG&E - TABLE MOUNTAIN,Private
CA3601171,Transient non-community system,DEMPSEYS PUB,Private
CA3601172,Transient non-community system,FENDERS,Private
CA3601173,Transient non-community system,BOLO STATION RV PARK & SNACK BAR,Private
CA3705067,Transient non-community system,MOM S PIE HOUSE,Private
CA5602107,Community water system,EVERGREEN TRAILER PARK,Private
CA4900629,Transient non-community system,EAST AUSTIN CREEK MUTUAL WATER COMPANY,Private
CA0707800,Transient non-community system,ALL STAR ACADEMY OF DANVILLE,Private
CA1700511,Community water system,HARBIN HOT SPRINGS,Private
CA5500125,Community water system,MOTHER LODE MOBILE ESTATES,Private
CA1410008,Community water system,INYO COUNTY PWD - INDEPENDENCE,Local government
CA4910011,Community water system,"SEBASTOPOL, CITY OF",Local government
CA5500096,Community water system,SIERRA TWAIN HARTE MOBILE PARK,Private
CA5500208,Transient non-community system,PHOENIX LAKE GOLF CLUB,Private
CA4500317,Community water system,SHASTA CO CSA # 11 FRENCH GULCH,Local government
CA4500006,Community water system,SHASTA CO CSA # 2 SUGARLOAF,Local government
CA4500001,Community water system,SHASTA CO CSA # 25 KESWICK,Local government
CA4500028,Community water system,SHASTA CO CSA # 23 CRAGVIEW,Local government
CA4510004,Community water system,SHASTA CO. SERVICE AREA #6,Local government
CA4500015,Community water system,SHASTA CO CSA # 3 CASTELLA,Local government
CA3310301,Transient non-community system,MT SAN JACINTO ST PARK (STONE CREEK),State government
CA4300573,Community water system,GREEN ACRES MUTUAL WATER,Private
CA5610040,Community water system,CAL AMERICAN WATER CO,Private
CA3900983,Community water system,CHERRY LANE TRAILER PARK,Private
CA3901405,Non-Transient non-community system,TRINIDAD BENHAM CORP WATER SYSTEM,Private
CA3610018,Community water system,CUCAMONGA VALLEY WATER DISTRICT,Local government
CA1503650,Transient non-community system,GEORGE DAISA WATER SYSTEM,Private
CA3901304,Community water system,BROOKSIDE MEADOWS ESTATE,Private
CA4000598,Non-Transient non-community system,CUYAMA LANE WATER COMPANY,Private
CA4000699,Transient non-community system,SAN PASO TRUCK STOP,Private
CA2710008,Community water system,"GREENFIELD, CITY OF",Local government
CA3710321,Transient non-community system,OCOTILLO WELLS - HOLLY ROAD,State government
CA3601175,Transient non-community system,RASOR ROAD SERVICE,Private
CA5700768,Non-Transient non-community system,ALFOREX SEEDS LLC,Private
CA4000211,Non-Transient non-community system,GREENHEART FARMS,Private
CA4000752,Non-Transient non-community system,COPELAND'S PROPERTIES,Private
CA2701241,Community water system,ENCINAL RD WS #01,Private
CA4900570,Community water system,PALOMINO LAKES MUTUAL WATER CO.,Private
CA4901119,Non-Transient non-community system,DRY CREEK VINEYARD,Private
CA1700733,Transient non-community system,JITTERBEAN COFFEE,Private
CA1800573,Non-Transient non-community system,RICHMOND ELEMENTARY SCHOOL,Local government
CA5403139,Non-Transient non-community system,TREEHOUSE CALIFORNIA ALMONDS LLC,Private
CA4500081,Community water system,LAZY LANDING MOBILE HOME PARK,Private
CA3010097,Community water system,MIDWAY CITY MUTUAL WC,Private
CA5402041,Transient non-community system,PENNY WISE MOTEL,Private
CA5403126,Non-Transient non-community system,FAMILY EDUCATION CENTER,Local government
CA5400638,Non-Transient non-community system,SIERRA SCHOOL,Local government
CA5400636,Non-Transient non-community system,OROSI HIGH SCHOOL,Local government
CA5403131,Non-Transient non-community system,SUNNY ACRES WATER SYSTEM,Private
CA1000513,Transient non-community system,KINGDOM HALL OF JEHOVAH S WITNESSES,Private
CA4500093,Community water system,RED HILL MOBILEHOME PARK,Private
CA4500098,Community water system,ANDERSON MOBILE HOME PARK,Private
CA4500102,Transient non-community system,BEAR MOUNTAIN RV RESORT,Private
CA4500104,Community water system,SUNRISE MOBILEHOME PARK,Private
CA4500083,Transient non-community system,PG&E - MCCUMBER CAMPGROUND,Private
CA4500084,Community water system,MCARTHUR MOBILEHOME PARK,Private
CA4500089,Community water system,PINE RIDGE PARK ESTATES,Private
CA4500091,Transient non-community system,BIG BEND MOBILE ESTATES,Private
CA1000315,Non-Transient non-community system,CLAY JOINT ELEMENTARY SCHOOL,Private
CA1910154,Community water system,CITY OF SOUTH PASADENA,Local government
CA2310310,Transient non-community system,CSP-STANDISH HICKEY STATE REC AREA,State government
CA5103007,Transient non-community system,HAPPY TIME,Private
CA5602301,Transient non-community system,SANTA MONICA MT. REC AREA - CIRCLE X,Federal government
CA4410014,Community water system,SAN LORENZO VALLEY WATER DIST,Local government
CA4901342,Transient non-community system,PADMASAMBHAVA PEACE INSTITUTE,Private
CA3100106,Transient non-community system,GOLD RUN RECREATION ENTERPRISES,Private
CA5200527,Community water system,HUNTER'S FISHING RESORT,Private
CA5700752,Transient non-community system,K 76 - RD 102,Private
CA4410002,Community water system,SLVWD - FELTON WATER SYSTEM,Private
CA3700935,Transient non-community system,WILDERNESS GARDENS PRESERVE,Local government
CA4200731,Community water system,ALEGRIA MWC,Private
CA4200963,Non-Transient non-community system,CHISAN ORCHIDS NURSERY,Private
CA3601174,Transient non-community system,DESERT STAR RANCH,Private
CA2700589,Community water system,GLENN AVE WS #01,Private
CA2700594,Community water system,HIDDEN VALLEY WA,Private
CA2700606,Community water system,HIDDEN VIEWS MHP WS,Private
CA2700612,Community water system,LAGUNA SECA WC,Private
CA2700613,Non-Transient non-community system,LAGUNITA SCHOOL WS,Local government
CA2100551,Transient non-community system,TONY S SEAFOOD RESTAURANT,Private
CA2700629,Community water system,MANZANITA HILLS WA,Private
CA2700634,Community water system,CHETMOORE ACRES WA,Private
CA2700656,Community water system,MORO COJO MWA,Private
CA1000111,Non-Transient non-community system,PINE RIDGE SCHOOL,Local government
CA5700727,Transient non-community system,CORNER STORE,Private
CA5700728,Transient non-community system,GUINDA COMMONS,Private
CA2000260,Transient non-community system,COARSEGOLD SELF SERVE (SHELL),Public/Private
CA2000724,Community water system,SA#14 CHUK CHANSE SUBDIVISION,Local government
CA5400984,Transient non-community system,SUCCESS MARKET,Private
CA5403201,Non-Transient non-community system,WIEBE FARMS,Private
CA1000156,Transient non-community system,BSA/CAMP OLJATO,Private
CA5400544,Community water system,ALLENSWORTH CSD,Local government
CA1100102,Non-Transient non-community system,"SYNGENTA SEEDS, INC.",Private
CA5500190,Transient non-community system,WAGNER TRACT IMPROVEMENT ASSOC,Private
CA1910149,Community water system,"SIGNAL HILL - CITY, WATER DEPT.",Local government
CA2000832,Community water system,SKP PARK OF THE SIERRAS INC,Private
CA1700650,Transient non-community system,JELLYSTONE PARK RV AND CAMP RESORT,Private
CA1500296,Community water system,FULLER ACRES MUTUAL WATER COMPANY,Private
CA3701893,Transient non-community system,DUDLEY'S BAKERY,Private
CA5700741,Transient non-community system,UNITED TRAVEL PLAZA,Private
CA5700763,Transient non-community system,ELKHORN REGIONAL PARK,Local government
CA2000275,Non-Transient non-community system,CHILDREN'S HOSPITAL CENTRAL CALIF,Public/Private
CA2000503,Transient non-community system,BATTERSON WORK CENTER (WATER),Federal government
CA2000505,Transient non-community system,LUPINE WATER SYSTEM,Federal government
CA1600249,Non-Transient non-community system,DEL MONTE FOODS PLANT #24,Private
CA1600255,Transient non-community system,OVERLAND STOCKYARD,Private
CA1600258,Transient non-community system,KINGS COUNTRY CLUB,Private
CA1600290,Transient non-community system,LA FUENTE MARKET II(WA),Private
CA2000293,Community water system,MD#46 AHWAHNEE RESORTS,Local government
CA2000508,Transient non-community system,CALVIN CREST CONFERENCE CENTER,Public/Private
CA2000352,Non-Transient non-community system,MADERA IRRIGATION DISTRICT,Local government
CA2000377,Non-Transient non-community system,P.A.M - OFFICE,Public/Private
CA1600050,Non-Transient non-community system,CENTRAL VALLEY MEAT CO INC,Private
CA1600601,Non-Transient non-community system,KWRA MRF,Private
CA0500097,Non-Transient non-community system,CUSD DISTRICT OFFICE,State government
CA0706106,Transient non-community system,LITTORNO & PANFILI WATER SYSTEM,Private
CA0706105,Transient non-community system,D ANNA YACHT CENTER,Private
CA0706102,Non-Transient non-community system,BAY STANDARDS,Private
CA0706112,Transient non-community system,EBRPD ROUND VALLEY WATER SYSTEM,Local government
CA0708004,Non-Transient non-community system,BRENTWOOD CREEK FARM,Private
