Regulating_agency,County,SystemID,System_Name,System_Type,Institution_type,Connections,Population,Inactivation_Date,Activity_date_from_tool,Date_combined,Receiving_Water_System,Receiving_System_ID,Receiving_System_Institution_Type,Issue_SWRCB,Issue_summary,Issue_capacity,Issue_quality,Issue_TMF,Issue_disaster,Issue_sustainability,Funding_Source,Consolidation_Type,Physical_or_Mangerial,Mandatory_or_voluntary,Story_link,long,lat,Data_source,Notes,Notes_Suzanne,Remove?,2016_proxydata_pop_con_type_county,Number_systems_involved,Unique_project,Consolidatedsystem_primary_source_combined,EPA_2021_source,Consolidatedsystem_primary_source_combinedFINAL,Receiving_2021_source,Receiving_2021_pop,Receiving_2021_systemtype,Distance(m),Prox_ord,CES_Receiving_Polygon,DistNote,Percent.renter.consolidated,Percent.owner.consolidated,Percent.white.consolidated,Percent.black.consolidated,Percent.asian.consolidated,Percent.native.consolidated,Percent.PI.consolidated,Percent.hispanicorlatino.consolidated,MHI.consolidated,Percent.renter.receiving,Percent.owner.receiving,Percent.white.receiving,Percent.black.receiving,Percent.asian.receiving,Percent.native.receiving,Percent.PI.receiving,Percent.hispanicorlatino.receiving,MHI.receiving
DISTRICT 19 - TEHACHAPI,KERN,CA1502247,MADERA CO SA NO 19-ROLLING HILLS,C,CSA,63,82,NA,NA,19-Mar,BAKMAN WATER-ROLLING HILLS,CA2010009,IOU,NA,NA,NA,NA,NA,NA,NA,NA,Voluntary Consolidation,Managerial,Voluntary,NA,NA,NA,Additional cases,NA,"confirm ""managerial consolidation"" definition",No,No,NA,Yes,GW,GW,GW,GW,1106,Community water system,NA,NA,NA,Not in top 50,83.0449827,16.9550173,22.52964427,30.83003953,4.009034444,0,0,42.63128176,NA,3.121387283,96.87861272,63.28502415,2.737520129,2.818035427,0.76489533,0.080515298,26.44927536,107813
NA,SAN BERNARDINO,CA3610060,SBDNO COUNTY SERVICE AREA W-1,C,CSA,647,1515,NA,NA,15-Jul,BDVWA - GOAT MOUNTAIN ID,CA3610060,Special Act District,NA,NA,NA,NA,NA,NA,NA,NA,Managerial,Managerial,Voluntary,NA,NA,NA,Inst. diversity paper,Annexed into larger system july 2015. Was county service area now part of special act district,Yes,No,Yes,NA,Yes,NA,GW,GW,GW,1300,Community water system,NA,NA,NA,Not in top 50,25.81602374,74.18397626,73.45767575,0,0,6.743185079,0,18.93830703,34818,8.800362491,91.19963751,78.70262526,3.499436078,0.250265617,0.070023664,0,14.11512842,NA
DISTRICT 13 - SAN BERNARDINO,SAN BERNARDINO,CA3610061,DWP - SUGARLOAF/ERWIN LAKE,C,City,4000,3422,11/27/19,NA,19-Nov,Big Bear Lake DWP - Big Bear System,CA3610044,City,source/storage capacity,Capacity,1,0,0,0,0,SWRCB,Voluntary Consolidation,Physical,Voluntary,NA,-116.886257,34.246618,Both,NA,NA,No,No,2,Yes,GW,NA,GW,GW,14368,Community water system,NA,NA,NA,NA,34.7715736,65.2284264,69.7815534,0.485436893,0,0.485436893,0,28.76213592,47222,42.56209638,57.43790362,65.63222519,0.334276296,1.614245404,1.408913458,0.201497461,30.35378868,NA
DISTRICT 24 - TULARE,TULARE,CA5410033,PRATT MUTUAL WATER CO,C,MWC,279,1500,NA,16-May,16-May,City of Tulare,CA5410015,City,Arsenic,Quality,0,1,0,0,0,SWRCB,Mandatory consolidation,Physical,Mandatory,HTTPS://WWW.WATERBOARDS.CA.GOV/DRINKING_WATER/CERTLIC/DRINKINGWATER/DOCUMENTS/PARTNERSHIP_SUCCESS/PRATT_MUTUAL.PDF,-119.355187,36.167302,Tool,NA,NA,No,No,2,Yes,GW,NA,GW,GW,65982,Community water system,1023.824278,1,NA,NA,53.432282,46.567718,16.75977654,2.281191806,0,0.744878957,0,77.79329609,50511,45.38830394,54.61169606,29.24512458,1.949212372,2.235365902,0.585793718,0.175202475,62.97603742,NA
"
DISTRICT 11 - MERCED",MADERA,CA2010013,HILLVIEW WATER CO- COARSEGOLD,C,IOU,25,83,NA,20-Jun,20-Jun,CAL AM - COARSEGOLD,CA2010013,IOU,MONITORING & REPORTING,TMF Capacity,0,0,1,0,0,None,Managerial,Managerial,Voluntary,NA,-119.7036,37.217101,Both,NA,NA,No,No,NA,Hillview,NA,GW,GW,GW,83,Community water system,NA,NA,NA,NA,9.214659686,90.78534031,73.84997928,0.704517199,0,2.818068794,0,17.23995027,82641,9.214659686,90.78534031,73.84997928,0.704517199,0,2.818068794,0,17.23995027,82641
LPA87 - YOLO COUNTY,YOLO,CA5700712,DUNNIGAN WATER WORKS,C,IOU,173,400,16-Aug,NA,16-Aug,CAL AM - DUNNIGAN,CA5700712,IOU,None,None,0,0,0,0,0,None,Managerial,Managerial,Voluntary,NA,-121.953173,38.8646105,Inst. diversity paper / tool,"Dunnigan water works, an IOU was acquired by Cal am another IOU in 2015 (end)","Yes, was added to map last refresh",No,No,NA,Yes,NA,GW,GW,GW,400,Community water system,NA,NA,NA,NA,41.3897281,58.6102719,44.26028238,0,2.148557397,0,0,53.2228361,31111,43.98856506,56.01143494,41.11737633,1.622106545,1.305999725,6.84E-06,0,52.66651108,NA
"
DISTRICT 11 - MERCED",MADERA,CA2010014,HILLVIEW WATER CO-GOLDSIDE,C,IOU,309,1020,NA,20-Jun,20-Jun,CAL AM - GOLDSIDE,CA2010014,IOU,"IRON, MANGANESE",Quality,0,1,0,0,0,None,Managerial,Managerial,Voluntary,NA,-119.7172959,37.34688678,Both,NA,NA,No,No,NA,Hillview,NA,GW,GW,GW,1020,Community water system,NA,NA,NA,NA,26.42706131,73.57293869,82.23938224,0,1.698841699,0,0,14.20849421,68814,27.62423496,72.37576504,86.18484266,0,0.936913148,0,0,10.4942171,67784.00654
District 11 - Merced,MERCED,CA2410008,"MEADOWBROOK WATER COMPANY OF MERCED, INC",C,Private (other),1713,5650,NA,Sep.2019,19-Sep,CAL AM - MEADOWBROOK,CA2410008,Private (other),Coliforn,Quality,0,1,0,0,0,None,Managerial,Managerial,Voluntary,NA,-120.5265213,37.3210238,Tool,NA,NA,No,No,NA,Yes,NA,GW,GW,GW,5650,Community water system,NA,NA,NA,NA,28.70478413,71.29521587,37.96320981,1.35963743,39.56278326,0,0,15.54252199,53356,30.79015251,69.20984749,33.75560356,1.888670715,22.42475751,0.174788559,0,38.30620731,63572.97485
"
DISTRICT 11 - MERCED",MADERA,CA2010007,HILLVIEW WC-OAKHURST/SIERRA LAKES,C,IOU,1032,3403,NA,20-Jun,20-Jun,CAL AM - OAKHURST,CA2010007,IOU,"ARSENIC, URANIUM",Quality,0,1,0,0,0,None,Managerial,Managerial,Voluntary,NA,-119.6491003,37.3347617,Both,NA,NA,No,No,NA,Hillview,NA,GW,GW,GW,3403,Community water system,NA,NA,NA,NA,56.43564356,43.56435644,81.21149897,0,0,4.106776181,0,9.650924025,31765,20.23040896,79.76959104,75.09725819,0,2.578397494,0.417201963,0,21.00183377,71737.79826
"
DISTRICT 11 - MERCED",MADERA,CA2010012,HILLVIEW WATER CO-RAYMOND,C,IOU,96,317,NA,20-Jun,20-Jun,CAL AM - RAYMOND,CA2010012,IOU,"ARSENIC, URANIUM",Quality,0,1,0,0,0,None,Managerial,Managerial,Voluntary,NA,-119.9060009,37.2193176,Both,NA,NA,No,No,NA,Hillview,NA,GW,GW,GW,317,Community water system,NA,NA,NA,NA,19.20634921,80.79365079,75.64356436,0,1.716171617,0.330033003,0.330033003,15.24752475,44276,19.20634921,80.79365079,75.64356436,0,1.716171617,0.330033003,0.330033003,15.24752475,44276
District 09- Sacramento,SACRAMENTO,CA3410023,FRUITRIDGE VISTA WATER COMPANY,C,IOU,4761,15712,NA,19-Nov,19-Nov,CAL AM FRUITRIDGE VISTA,CA3410023,IOU,None,None,0,0,0,0,0,Private,Managerial,Managerial,Voluntary,NA,-121.460664,38.522295,Tool,NA,NA,No,No,NA,Yes,NA,GW,GW,GW,15385,Community water system,NA,NA,NA,NA,52.8,47.2,14.27328111,1.914708442,32.0278503,0,0,51.78416014,54837,59.88944697,40.11055303,14.66032065,11.43611039,18.441198,0.30563258,1.816407445,45.85346398,43196.15062
LPA64 - SACRAMENTO COUNTY,SACRAMENTO,CA3400140,ASPEN GROVE MH & RV PARK,C,MHP,35,55,7/12/18,NA,18-Jul,Cal American Water-Rosemont,CA3410010,IOU,None,None,0,0,0,0,0,private,Voluntary Consolidation,Physical,Voluntary,NA,-121.308278,38.585602,Both,NA,NA,No,No,2,Yes,GW,NA,GW,GW,53563,Community water system,16.72760602,2,1,NA,25.14177694,74.85822306,53.71257485,7.54491018,23.41317365,0,0,14.73053892,64219,46.39082349,53.60917651,44.50534235,13.37835875,10.92128828,0.214028913,0.770920845,22.6910638,NA
DISTRICT 06 - SANTA BARBARA,VENTURA,CA5610010,RIO PLAZA WATER COMPANY,C,IOU,516,1716,NA,19-May,19-May,CAL AMERICAN WC - RIO PLAZA,CA5610010,IOU,None,None,0,0,0,0,0,NA,Managerial,Managerial,Voluntary,NA,-119.1701857,34.2295363,Tool,NA,NA,No,No,NA,Yes,NA,GW,GW,GW,1716,Community water system,1397.193477,7,NA,NA,34.93975904,65.06024096,13.35952849,0,0,0,0,84.21741978,74554,38.30532061,61.69467939,12.66312918,0.002500272,0.204712827,0.002923203,0.002749055,85.09711347,69793.12229
DISTRICT 24 - TULARE,TULARE,CA5400507,VISALIA/ SEQUOIA SOUTH KOA,NC,MHP,83,169,11/20/17,NA,17-Nov,Cal Water Service-Visalia,CA5410016,IOU,Nitrate/Bacteriological,Quality,0,1,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-119.406193,36.349414,Both,NA,NA,No,No,2,Yes,GW,NA,GW,GW,141165,Community water system,236.8240248,1,NA,NA,31.0318076,68.9681924,9.118915588,0,5.565824605,0,0,76.48387759,59750,41.99883824,58.00116176,37.37055263,2.208271059,5.697828745,0.419460658,0.034936903,52.60374602,NA
LPA57 - MONTEREY COUNTY,MONTEREY,CA2702624,UNI-KOOL WS,NTNC,Private (other),6,180,7/12/17,NA,17-Jul,Cal-Water,CA2710010,IOU,Nitrate,Quality,0,1,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-120.7617451,35.81280886,Both,NA,NA,No,No,2,Yes,GW,NA,GW,GW,106858,Community water system,NA,NA,NA,Not in top 50,78.94736842,21.05263158,0,0,0,0,0,100,NA,51.17186932,48.82813068,15.88530326,1.363246238,7.150721737,0.10560794,0.093514814,73.48933599,NA
LPA49 - LA COUNTY,LOS ANGELES,CA1900009,ADAMS RANCH MUTUAL,C,MWC,177,500,NA,March.2016,16-Mar,CAL/AM WATER COMPANY - SAN MARINO,CA1910139,IOU,MONITORING & REPORTING,TMF Capacity,0,0,1,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-118.0668405,34.0873692,Tool,NA,NA,No,No,2,Yes,GW,NA,GW,SWP,47626,Community water system,86.62728308,2,NA,NA,43.59605911,56.40394089,1.464713715,0.066577896,68.64181092,0,0,29.82689747,72500,38.63291086,61.36708914,14.28280374,0.697804649,54.78397258,0.453086481,0.151441104,27.85862963,NA
DISTRICT 13 - SAN BERNARDINO,SAN BERNARDINO,CA3610853,CYA-INACTIVATED 20160108,C,State,1,1,NA,16-Jan,16-Jan,CALIFORNIA INSTITUTION FOR MEN,CA3610850,State,Coliform,Quality,0,1,0,0,0,Other,Voluntary Consolidation,Physical,Voluntary,NA,-117.656878,33.979422,Tool,NA,NA,No,No,2,Yes,GWP,NA,GWP,GW,10667,Community water system,NA,NA,NA,NA,NA,NA,30.33304204,18.59403826,3.69938829,0.932129333,0.70880668,40.00388387,NA,79.58366369,20.41633631,30.1680193,18.60159671,4.052068367,0.917437581,0.687528582,39.84405258,NA
LPA69 - SAN JOAQUIN COUNTY,SAN JOAQUIN,CA3900726,BENTLEY TRAILER COURT,C,MHP,28,84,9/4/18,NA,18-Sep,California Water Service - Stockton,CA3910001,IOU,Arsenic,Quality,0,1,0,0,0,private,Voluntary Consolidation,Physical,Voluntary,NA,-121.258456,37.950917,Both,NA,NA,No,No,2,Yes,GW,NA,GW,SWP,173272,Community water system,10.70729565,2,1,NA,70.78313253,29.21686747,1.105990783,11.88940092,0,0,0,87.00460829,54667,58.20237115,41.79762885,17.29908913,8.98316028,9.41268255,0.14637374,0.217576712,60.74058505,NA
LPA69 - SAN JOAQUIN COUNTY,SAN JOAQUIN,CA3901334,BJJ COMPANY LLC,NTNC,Private (other),1,40,6/19/19,NA,19-Jun,California Water Service - Stockton,CA3910001,IOU,Arsenic,Quality,0,1,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-121.2613068,37.9611702,Both,NA,NA,No,No,2,Yes,GW,NA,GW,SWP,173272,Community water system,NA,NA,NA,NA,45.83333333,54.16666667,0,16.47577093,6.519823789,0,0,77.00440529,37500,58.20237115,41.79762885,17.29908913,8.98316028,9.41268255,0.14637374,0.217576712,60.74058505,NA
LPA67 - SAN DIEGO COUNTY,SAN DIEGO,CA3705026,ERRECA'S ASSOCIATES,NC,Private (other),7,25,8/26/19,NA,19-Aug,Lakeside WD,CA3710013,Irrigation District,None,None,0,0,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-116.9462983,32.90652,Both,NA,NA,No,No,2,Yes,GW,NA,GW,SWP,35500,Community water system,512.5850887,1,NA,"PWSID was right, name wrong - changed",3.203661327,96.79633867,85.10301109,0,5.309033281,1.267828843,0,8.320126783,120754,40.40347412,59.59652588,65.01397667,1.931179984,1.142273218,1.381903361,0.48822899,25.40316725,NA
NA,SOLANO,CA4810701,TRAVIS AIR FORCE BASE - DISTRIBUTION,C,Federal,2104,7190,19-Jul,NA,19-Jul,CALIFORNIA WATER SERVICE CO.-TRAVIS AFB,CA4810701,IOU,NA,NA,NA,NA,NA,NA,NA,NA,Managerial,Managerial,Voluntary,NA,NA,NA,Additional cases,https://www.calwater.com/latest-news/2019-0701-regulated-water-service-to-travis-air-force-base-begins/,Yes,No,Yes,NA,Yes,NA,SWP,SWP,SWP,7190,Community water system,NA,NA,NA,NA,100,0,39.50310559,12.91925466,1.98757764,0,17.88819876,21.73913043,62031,79.15373702,20.84626298,48.72854961,11.12633183,11.27738238,0,7.032154505,15.10197198,NA
LPA69 - SAN JOAQUIN COUNTY,SAN JOAQUIN,CA3901330,CHEROKEE FREIGHT LINES WATER SYSTEM,NC,Private (other),1,50,9/19/19,NA,19-Sep,California Water Service- Stockton,CA3910001,IOU,bacteriological,Quality,0,1,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-121.253866,37.991519,Both,NA,NA,No,No,2,Yes,GW,NA,GW,SWP,173272,Community water system,NA,NA,NA,NA,16.75257732,83.24742268,32.87401575,1.181102362,6.791338583,0,4.232283465,54.92125984,42708,58.20237115,41.79762885,17.29908913,8.98316028,9.41268255,0.14637374,0.217576712,60.74058505,NA
DISTRICT 18 - SONOMA,SONOMA,CA4910024,GEYSERVILLE WATER WORKS,C,IOU,307,1014,NA,16-Nov,16-Nov,CALIFORNIA-AMERICAN GEYSERVILLE,CA4910024,IOU,bacteriological,Quality,0,1,0,0,0,Private,Managerial,Managerial,Voluntary,NA,-122.9045833,38.7070558,Tool,NA,NA,No,No,NA,Yes,NA,GW,GW,GW,1014,Community water system,NA,NA,NA,NA,38.23529412,61.76470588,74.22096317,0,1.983002833,0,0,19.97167139,111085,34.3377514,65.6622486,73.6102207,0,1.571185332,0,0,18.81478637,114161.8439
DISTRICT 18 - SONOMA,SONOMA,CA4900890,REDWOOD ADVENTIST ACADEMY,NTNC,School,3,140,NA,17-Nov,17-Nov,CALIFORNIA-AMERICAN LARKFIELD,CA4910023,IOU,Fire impacted,Disaster,0,0,0,1,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-122.740314,38.502131,Tool,NA,NA,No,No,2,Yes,GW,NA,GW,GW,7524,Community water system,NA,NA,NA,NA,11.95121951,88.04878049,83.96396396,0.990990991,1.801801802,0,0,7.837837838,128375,28.46287851,71.53712149,68.19567892,0.400459412,2.161149031,0,0.339762297,23.75666996,NA
DISTRICT 05 - MONTEREY,MONTEREY,CA2710706,CAMP ROBERTS WELL 6A,NC,State,6,115,3/2/18,NA,18-Mar,Camp Roberts-National Guard,CA2710705,State,None,None,0,0,0,0,0,Other,Voluntary Consolidation,Physical,Voluntary,NA,-121.6681888,36.6810245,Both,NA,NA,No,No,2,Yes,GW,NA,GW,GW,385,Non-Transient non-community system,NA,NA,NA,Not in top 50,12.5794155,87.4205845,72.75664034,11.73725772,0.933237617,0.32304379,0.502512563,9.547738693,70436,14.27537302,85.72462698,71.47720702,11.09181772,1.34555277,0.346963658,0.448929352,10.94063144,70353.07649
District 11 - Merced,MERCED,CA2410306,CDPR-MEDEIROS,NC,State,3,0,4/25/18,NA,18-Apr,CDPR-Section Wide Potable Water Tanks                     (Three park systems consolidated into one),CA2410305,State,None,None,0,0,0,0,0,Other,Voluntary Consolidation,Physical,Voluntary,NA,-121.0236627,37.06508001,Both,Changed system type to NC (in tool) from NP (in excel data) and also changed population served to zero was 540 listed as ish in excel data. Look into if this should be listed as regionalization,NA,No,No,3,CDPR,SWP,NA,SWP,SWP,171,Transient non-community system,NA,NA,NA,NA,63.65422397,36.34577603,42.44897959,0,0,0,1.166180758,55.27696793,53150,NA,NA,NA,NA,NA,NA,NA,NA,NA
District 11 - Merced,MERCED,CA2410307,CDPR-DINOSAUR POINT,NC,State,3,0,4/25/18,NA,18-Apr,CDPR-Section Wide Potable Water Tanks                     (Three park systems consolidated into one),CA2410305,State,None,None,0,0,0,0,0,Other,Voluntary Consolidation,Physical,Voluntary,NA,-121.211628,37.065095,Both,"Three park systems consolidated into one says excel yearly data, system type listed as NP and I changed the population served to zero to match partnerships tool data, there was a number around 300 I think in excel data originally. Look into if this shoudl be listed as regionalization",NA,No,No,3,CDPR,SWP,NA,SWP,SWP,171,Transient non-community system,NA,NA,NA,NA,27.66570605,72.33429395,52.57142857,0.816326531,9.469387755,0,0,35.51020408,121213,NA,NA,NA,NA,NA,NA,NA,NA,NA
District 11 - Merced,MARIPOSA,CA2202048,INDIAN FLAT R V PARK AND CAMPGROUND,NC,MHP,53,100,3/14/17,NA,17-Mar,Cedar Lodge Resort,CA2210900,Private (other),TCR/Nitrate,Quality,0,1,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-119.848992,37.661214,Both,Excelle data sheets listed type as NP,NA,No,No,2,Yes,GW,NA,GW,GW,656,Community water system,155.9817901,1,NA,NA,25.46816479,74.53183521,60.48689139,0,0,19.66292135,0,17.41573034,40469,25.46816479,74.53183521,60.48689139,0,0,19.66292135,0,17.41573034,40469
District 23 - Fresno,FRESNO,CA1000207,CENTRAL WEST ARTS CENTER,C,School,7,56,12/11/18,NA,18-Dec,Central High School West,CA1000217,School,Nitrate,Quality,0,1,0,0,0,SWRCB,Voluntary Consolidation,Physical,Voluntary,NA,-119.9873046,36.7647094,Both,NA,NA,No,No,2,Yes,GW,NA,GW,GW,1127,Non-Transient non-community system,1180.760907,2,NA,NA,37.71626298,62.28373702,43.24468085,1.595744681,7.393617021,0,0,43.45744681,54022,37.78616578,62.21383422,43.36839194,1.583536154,7.337050845,0,0,43.43547344,NA
LPA80 - STANISLAUS COUNTY,STANISLAUS,CA5000077,CERES WEST MHP,C,MHP,46,161,8/21/20,NA,20-Aug,"CERES, CITY OF",CA5010028,City,"Arsenic and 1,2,3-TCP MCL Drinking Water Violations",Quality,0,1,0,0,0,Private,Mandatory consolidation,Physical,Mandatory,HTTPS://WWW.WATERBOARDS.CA.GOV/DRINKING_WATER/CERTLIC/DRINKINGWATER/DOCS/CERES_STORY_ACC.PDF,-120.9578627,37.5657347,Both,Excel data said system type of NP,NA,No,No,2,Yes,GW,NA,GW,GW,48706,Community water system,971.3157508,5,NA,NA,39.36430318,60.63569682,26.88172043,0,2.84629981,0,0,68.62745098,67174,43.63861831,56.36138169,27.2705292,2.603767819,2.886493224,0.776712155,0.731819917,63.4841457,NA
