Regulating_agency,County,SystemID,System_Name,System_Type,Institution_type,Connections,Population,Inactivation_Date,Activity_date_from_tool,Date_combined,Receiving_Water_System,Receiving_System_ID,Receiving_System_Institution_Type,Issue_SWRCB,Issue_summary,Issue_capacity,Issue_quality,Issue_TMF,Issue_disaster,Issue_sustainability,Funding_Source,Consolidation_Type,Physical_or_Mangerial,Mandatory_or_voluntary,Story_link,long,lat,Data_source,Consolidatedsystem_primary_source_combinedFINAL,Receiving_2021_source,Receiving_2021_pop,Percent.renter.consolidated,Percent.owner.consolidated,Percent.white.consolidated,Percent.black.consolidated,Percent.asian.consolidated,Percent.native.consolidated,Percent.PI.consolidated,Percent.hispanicorlatino.consolidated,MHI.consolidated,Percent.renter.receiving,Percent.owner.receiving,Percent.white.receiving,Percent.black.receiving,Percent.asian.receiving,Percent.native.receiving,Percent.PI.receiving,Percent.hispanicorlatino.receiving,MHI.receiving
LPA64 - SACRAMENTO COUNTY,SACRAMENTO,CA3400332,OXBOW MARINA (SWS),C,MWC,95,200,7/18/17,NA,Jul-17,Cal-Am Isleton,CA3410012,IOU,Arsenic,Quality,0,1,0,0,0,SWRCB,Voluntary Consolidation,Physical,Voluntary,HTTPS://WWW.WATERBOARDS.CA.GOV/DRINKING_WATER/CERTLIC/DRINKINGWATER/DOCUMENTS/PARTNERSHIP_SUCCESS/OXBOW_MARINA_MWC.PDF,-121.589959,38.150018,Both,GW,GW,1581,24.213075060532688,75.78692493946731,68.70588235294117,0.9411764705882352,2.705882352941176,0.7058823529411765,0,24.58823529411765,45054,24.77632161768453,75.22367838231547,66.43541246686515,0.8820386502997435,3.3736469070320627,0.6615289877248076,0,26.44227636232887,46022.20706955321
LPA69 - SAN JOAQUIN COUNTY,SAN JOAQUIN,CA3900726,BENTLEY TRAILER COURT,C,MHP,28,84,9/4/2018,NA,Sep-18,California Water Service - Stockton,CA3910001,IOU,Arsenic,Quality,0,1,0,0,0,private,Voluntary Consolidation,Physical,Voluntary,NA,-121.258456,37.950917,Both,GW,SWP,173272,70.78313253012048,29.21686746987952,1.1059907834101383,11.889400921658986,0,0,0,87.00460829493088,54667,58.202371154113955,41.797628845886045,17.29908913240974,8.983160280254397,9.412682550420689,0.14637373972294063,0.21757671168048803,60.740585045051944,NA
LPA69 - SAN JOAQUIN COUNTY,SAN JOAQUIN,CA3901334,BJJ COMPANY LLC,NTNC,Private (other),1,40,6/19/19,NA,Jun-19,California Water Service - Stockton,CA3910001,IOU,Arsenic,Quality,0,1,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-121.2613068,37.9611702,Both,GW,SWP,173272,45.83333333333333,54.166666666666664,0,16.47577092511013,6.5198237885462555,0,0,77.00440528634361,37500,58.202371154113955,41.797628845886045,17.29908913240974,8.983160280254397,9.412682550420689,0.14637373972294063,0.21757671168048803,60.740585045051944,NA
LPA70 - SAN LUIS OBISPO COUNTY,SAN LUIS OBISPO,CA4000512,BELLA VISTA MOBILE LODGE,C,MHP,84,200,10/20/17,NA,Oct-17,Paso Robles Beach Water Association,CA4010006,MWC,Arsenic,Quality,0,1,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-120.908411,35.451219,Both,GW,SWP,2373,58.69565217391305,41.30434782608695,73.71900826446281,0,8.264462809917356,0,0,16.03305785123967,57292,48.209089352241094,51.790910647758906,82.26229409722495,0,1.6640448784960984,0,0,12.41250762787235,58010.89777755932
DISTRICT 04 - SAN FRANCISCO,SOLANO,CA4810037,SOLANO COUNTY CORDELIA STATE,NC,County (other),1,30,5/3/19,NA,May-19,City of Fairfield,CA4810003,City,Arsenic,Quality,0,1,0,0,0,Solano County,Voluntary Consolidation,Physical,Voluntary,NA,-122.1062682,38.2312779,Both,GW,SW,112140,42.039355992844364,57.960644007155636,40.01189060642093,3.151010701545779,40.19024970273484,0,0,11.414982164090368,106927,43.671677956191424,56.328322043808576,27.9576707808029,16.301063045827817,13.677461329899534,0.4940106027647364,1.4476125086255198,34.1371839266216,NA
DISTRICT 18 - SONOMA,SONOMA,CA4900855,WEST FIELD COMMUNITY,C,MHP,29,75,NA,Aug-16,Aug-16,"SONOMA, CITY OF",CA4910012,City,Arsenic,Quality,0,1,0,0,0,SWRCB,Regionalization,Physical,Voluntary,https://www.waterboards.ca.gov/drinking_water/certlic/drinkingwater/documents/partnership_success/city_of_santa_rosa.pdf,-122.714815,38.39102,Tool,GW,GW,11923,49.46996466431096,50.53003533568905,52.67015706806283,3.769633507853403,0,0,0,41.46596858638743,67642,39.61258553946487,60.38741446053514,78.71400008946517,0.8362539095104685,2.3882211984070683,0,6.249308349443085e-4,15.795066638839032,NA
DISTRICT 18 - SONOMA,SONOMA,CA4900786,RANCHO SANTA ROSA MHP,C,MHP,80,175,NA,Aug-16,Aug-16," SANTA ROSA, CITY OF",CA4910009,City,Arsenic,Quality,0,1,0,0,0,SWRCB,Regionalization,Physical,Voluntary,https://www.waterboards.ca.gov/drinking_water/certlic/drinkingwater/documents/partnership_success/city_of_santa_rosa.pdf,-122.7148542,38.3933998,Tool,GW,GW,173648,49.46996466431096,50.53003533568905,52.67015706806283,3.769633507853403,0,0,0,41.46596858638743,67642,45.99029234765316,54.00970765234684,52.491984909064826,2.2908197378335835,5.617907055746451,0.5339041744397037,0.5597533495871722,34.749577691195086,NA
DISTRICT 18 - SONOMA,SONOMA,CA4901195,MOORLAND AVENUE APARTMENTS,C,Private (other),4,64,NA,Aug-16,Aug-16,SONOMA COUNTY CSA 41-FITCH MOUNTAIN,CA4910010,CSA,Arsenic,Quality,0,1,0,0,0,SWRCB,Regionalization,Physical,Voluntary,https://www.waterboards.ca.gov/drinking_water/certlic/drinkingwater/documents/partnership_success/city_of_santa_rosa.pdf,-122.716746,38.399821,Tool,GW,GWP,1115,74.40699126092385,25.593008739076158,16.52569941444372,0,1.073519843851659,0,0,80.8067664281067,75925,29.901517819701862,70.09848218029813,72.33194022628007,0.32486957354441215,0.21708430662465494,0,0,24.048030499602145,90718.07350071901
DISTRICT 18 - SONOMA,SONOMA,CA4900676,SEQUOIA GARDENS MOBILE HOME PARK,C,MHP,192,300,NA,Aug-16,Aug-16,"SEBASTOPOL, CITY OF",CA4910011,City,Arsenic,Quality,0,1,0,0,0,SWRCB,Regionalization,Physical,Voluntary,https://www.waterboards.ca.gov/drinking_water/certlic/drinkingwater/documents/partnership_success/city_of_santa_rosa.pdf,-122.772047,38.444094,Tool,GW,GW,7786,36.84210526315789,63.1578947368421,90.12605042016807,0,6.512605042016808,0,0,3.361344537815126,43036,46.4221054620386,53.5778945379614,76.79940832301102,2.5911853719685305,3.6064230658730545,0,0.11816629745217036,12.212327002407477,NA
LPA80 - STANISLAUS COUNTY,STANISLAUS,CA5000051,MOBILE PLAZA PARK,C,MHP,50,125,5/29/19,NA,May-19,Keyes CSD,CA5010009,CSD,Arsenic,Quality,0,1,0,0,0,SWRCB,Regionalization,Physical,Voluntary,https://www.waterboards.ca.gov/drinking_water/certlic/drinkingwater/documents/partnership_success/keyes_story.pdf,-120.929337,37.569043,Both,GW,GW,5999,24.54212454212454,75.45787545787546,27.623762376237625,0.7425742574257426,0,0,0,68.51485148514853,65298,71.81225731404014,28.187742685959865,16.59375802411378,0.9734897360144785,0.4675371621059444,0,0,80.665842279596,37418.258410847215
LPA80 - STANISLAUS COUNTY,STANISLAUS,CA5000057,ORCHARD VILLAGE MHP,C,MHP,49,75,5/29/19,NA,May-19,Keyes CSD,CA5010009,CSD,Arsenic,Quality,0,1,0,0,0,SWRCB,Regionalization,Physical,Voluntary,https://www.waterboards.ca.gov/drinking_water/certlic/drinkingwater/documents/partnership_success/keyes_story.pdf,-120.938564,37.585248,Both,GW,GW,5999,20.27972027972028,79.72027972027972,15.728643216080402,0,1.9597989949748744,0,0,78.19095477386935,52077,71.81225731404014,28.187742685959865,16.59375802411378,0.9734897360144785,0.4675371621059444,0,0,80.665842279596,37418.258410847215
LPA80 - STANISLAUS COUNTY,STANISLAUS,CA5000085,GREEN RUN MOBILE ESTATES,C,MHP,46,100,5/29/19,NA,May-19,Keyes CSD,CA5010009,CSD,Arsenic,Quality,0,1,0,0,0,SWRCB,Regionalization,Physical,Voluntary,https://www.waterboards.ca.gov/drinking_water/certlic/drinkingwater/documents/partnership_success/keyes_story.pdf,-120.900048,37.552253,Both,GW,GW,5999,24.67866323907455,75.32133676092545,62.80788177339901,0,0,0,0,34.40065681444992,58795,71.81225731404014,28.187742685959865,16.59375802411378,0.9734897360144785,0.4675371621059444,0,0,80.665842279596,37418.258410847215
LPA80 - STANISLAUS COUNTY,STANISLAUS,CA5000086,COUNTRYSIDE MHP,NP,MHP,44,60,3/14/19,NA,Mar-19,Keyes CSD,CA5010009,CSD,Arsenic,Quality,0,1,0,0,0,SWRCB,Regionalization,Physical,Voluntary,https://www.waterboards.ca.gov/drinking_water/certlic/drinkingwater/documents/partnership_success/keyes_story.pdf,-120.895532,37.543037,Both,GW,GW,5999,44.61028192371476,55.38971807628524,85.36585365853658,0,2.0637898686679175,0,0,12.570356472795496,64693,71.81225731404014,28.187742685959865,16.59375802411378,0.9734897360144785,0.4675371621059444,0,0,80.665842279596,37418.258410847215
LPA80 - STANISLAUS COUNTY,STANISLAUS,CA5000484,UNITED PALLET SERVICES INC WATER SYSTEM,NTNC,Private (other),5,45,9/24/18,NA,Sep-18,City of Ceres,CA5010028,City,Arsenic,Quality,0,1,0,0,0,private,Voluntary Consolidation,Physical,Voluntary,NA,-120.9942852,37.5788277,Both,GW,GW,48706,55.660377358490564,44.339622641509436,37.408424908424905,0,7.4633699633699635,1.1446886446886446,0,53.663003663003664,43864,43.63861830851183,56.36138169148816,27.270529204264644,2.6037678186910314,2.8864932238410295,0.7767121552226377,0.731819916849873,63.4841457030313,NA
LPA80 - STANISLAUS COUNTY,STANISLAUS,CA5000570,INTERSTATE TRUCK CENTER VALLEY PETERBILT,NC,Private (other),2,23,4/28/2021,NA,Apr-21,KEYES COMMUNITY SERVICES DIST.,CA5010009,CSD,ARSENIC,Quality,0,1,0,0,0,Private,Regionalization,Physical,Voluntary,NA,-120.9009194,37.5460416,Both,GW,GW,5999,44.61028192371476,55.38971807628524,85.36585365853658,0,2.0637898686679175,0,0,12.570356472795496,64693,71.81225731404014,28.187742685959865,16.59375802411378,0.9734897360144785,0.4675371621059444,0,0,80.665842279596,37418.258410847215
LPA82 - TEHAMA COUNTY,TEHAMA,CA5200550,NEW ORCHARD MOBILE HOME PARK LLC,C,MHP,50,125,8/31/2021,June.2021,Aug-21,LOS MOLINOS COMM. SERVICES DIST.,CA5210003,CSD,ARSENIC,Quality,0,1,0,0,0,SWRCB,Regionalization,Physical,Voluntary,https://www.waterboards.ca.gov/drinking_water/certlic/drinkingwater/docs/neworchard_story.pdf,-122.101887,40.035619,Both,GW,GW,1450,31.06382978723404,68.93617021276596,56.23547637490317,0,0,0.5422153369481022,0,41.13090627420604,25972,31.23562952576312,68.76437047423688,56.284122680854786,0,0.03561482780821492,0.5370669765743821,0,41.06560366131285,26364.546515681395
LPA82 - TEHAMA COUNTY,TEHAMA,CA5201137,MILLSTREAM MOBILE HOME PARK,C,MHP,53,80,3/17/2021,NA,Mar-21,LOS MOLINOS COMM. SERVICES DIST.,CA5210003,CSD,ARSENIC,Quality,0,1,0,0,0,SWRCB,Regionalization,Physical,Voluntary,NA,-122.1032315,40.0295933,Both,GW,GW,1450,31.06382978723404,68.93617021276596,56.23547637490317,0,0,0.5422153369481022,0,41.13090627420604,25972,31.23562952576312,68.76437047423688,56.284122680854786,0,0.03561482780821492,0.5370669765743821,0,41.06560366131285,26364.546515681395
DISTRICT 24 - TULARE,TULARE,CA5410033,PRATT MUTUAL WATER CO,C,MWC,279,1500,NA,May-16,May-16,CA5410015,CA5410015,City,Arsenic,Quality,0,1,0,0,0,SWRCB,Mandatory consolidation,Physical,Mandatory,HTTPS://WWW.WATERBOARDS.CA.GOV/DRINKING_WATER/CERTLIC/DRINKINGWATER/DOCUMENTS/PARTNERSHIP_SUCCESS/PRATT_MUTUAL.PDF,-119.355187,36.167302,Tool,GW,GW,65982,53.432282003710576,46.567717996289424,16.75977653631285,2.281191806331471,0,0.74487895716946,0,77.79329608938548,50511,45.38830393968716,54.61169606031283,29.24512458439316,1.9492123716752068,2.2353659019932115,0.585793718019194,0.17520247493640073,62.97603742141318,NA
LPA80 - STANISLAUS COUNTY,STANISLAUS,CA5000077,CERES WEST MHP,C,MHP,46,161,8/21/20,NA,Aug-20,"CERES, CITY OF",CA5010028,City,"Arsenic and 1,2,3-TCP MCL Drinking Water Violations",Quality,0,1,0,0,0,Private,Mandatory consolidation,Physical,Mandatory,HTTPS://WWW.WATERBOARDS.CA.GOV/DRINKING_WATER/CERTLIC/DRINKINGWATER/DOCS/CERES_STORY_ACC.PDF,-120.9578627,37.5657347,Both,GW,GW,48706,39.36430317848411,60.63569682151589,26.881720430107524,0,2.846299810246679,0,0,68.62745098039215,67174,43.63861830851183,56.36138169148816,27.270529204264644,2.6037678186910314,2.8864932238410295,0.7767121552226377,0.731819916849873,63.4841457030313,NA
LPA63 - RIVERSIDE COUNTY,RIVERSIDE,CA3303100,OASIS GARDENS WATER CO.,NC,MHP,160,314,3/9/2021,NA,Mar-21,COACHELLA VWD: COVE COMMUNITY,CA3310001,County Water District,"ARSENIC, CHROMIUM 6",Quality,0,1,0,0,0,SWRCB,Regionalization,Physical,Voluntary,NA,-116.1504896,33.549898,Both,GW,GW,297500,19.4300518134715,80.56994818652849,3.497757847533632,0,0,0.7623318385650224,0,95.73991031390135,22609,29.815997414416323,70.1840025855837,38.61726999244269,2.0894397736475883,3.2730953573754897,0.25629354144920696,0.07957819278792487,53.910417503568745,NA
LPA80 - STANISLAUS COUNTY,STANISLAUS,CA5000308,B & H MANUFACTURING,NTNC,Private (other),1,90,3/29/17,NA,Mar-17,City of Ceres,CA5010028,City,"Arsenic, coliform",Quality,0,1,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-120.9658357,37.5349485,Both,GW,GW,48706,18.525519848771268,81.47448015122873,53.64963503649635,0,1.322992700729927,1.322992700729927,0,43.70437956204379,NA,43.63861830851183,56.36138169148816,27.270529204264644,2.6037678186910314,2.8864932238410295,0.7767121552226377,0.731819916849873,63.4841457030313,NA
LPA39- El Dorado County,EL DORADO,CA0900579,MIDWAY INN,NC,Private (other),2,40,10/30/20,NA,Oct-20,South Tahoe PUD - Main,CA0910002,PUD,"Arsenic, Management issues, failure to sample, TCR",Multiple,0,1,1,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-119.9483818,38.9518667,Both,GW,GW,121124,96.8503937007874,3.149606299212598,19.577735124760075,0,22.648752399232247,0,0,52.783109404990405,NA,47.85091019580782,52.14908980419217,65.39620759494996,0.6259236038519519,5.230386207376091,0.1207859482393177,0.07725800661849254,25.028566276663216,NA
"
DISTRICT 11 - MERCED",MADERA,CA2010007,HILLVIEW WC-OAKHURST/SIERRA LAKES,C,IOU,1032,3403,NA,Jun-20,Jun-20,CAL AM - OAKHURST,CA2010007,IOU,"ARSENIC, URANIUM",Quality,0,1,0,0,0,None,Managerial,Managerial,Voluntary,NA,-119.6491003,37.3347617,Both,GW,GW,3403,56.43564356435643,43.56435643564357,81.21149897330595,0,0,4.1067761806981515,0,9.650924024640657,31765,20.230408955518666,79.76959104448133,75.09725818897205,0,2.5783974944412513,0.41720196274468924,0,21.0018337710618,71737.79826347601
"
DISTRICT 11 - MERCED",MADERA,CA2010012,HILLVIEW WATER CO-RAYMOND,C,IOU,96,317,NA,Jun-20,Jun-20,CAL AM - RAYMOND,CA2010012,IOU,"ARSENIC, URANIUM",Quality,0,1,0,0,0,None,Managerial,Managerial,Voluntary,NA,-119.9060009,37.2193176,Both,GW,GW,317,19.20634920634921,80.7936507936508,75.64356435643565,0,1.7161716171617163,0.33003300330033003,0.33003300330033003,15.247524752475247,44276,19.206349206349206,80.7936507936508,75.64356435643565,0,1.7161716171617163,0.33003300330033,0.33003300330033,15.247524752475247,44276
District 21 - Valley,COLUSA,CA0600011,DEL ORO WATER CO.-WALNUT RANCH,C,IOU,78,182,4/6/17,NA,Apr-17,City of Colusa,CA0610002,City,Arsenic/Failing wells,Multiple,1,1,0,0,0,SWRCB,Voluntary Consolidation,Physical,Voluntary,https://www.waterboards.ca.gov/drinking_water/certlic/drinkingwater/documents/partnership_success/delorowalnut.pdf,-122.022335,39.20228,Both,GWP,GW,6175,22.54901960784314,77.45098039215686,22.861710631494805,0,0,0,0,73.78097521982414,63841,41.99766736741151,58.00233263258849,40.81189702590359,2.8663362004955864,0.7477247486849317,0.2104233035127803,9.42510673709626e-4,52.16221873758305,NA
District 19 - Tehachapi,KERN,CA1502664,STONYBROOK CORPORATION - LA PAZ,NTNC,Private (other),36,1,1/19/18,NA,Jan-18,UP-Keene Water System,CA1500371,IOU,Bacteriological,Quality,0,1,0,0,0,private,Voluntary Consolidation,Physical,Voluntary,NA,-118.559778,35.229808,Both,GWP,GWP,208,20.506329113924053,79.49367088607595,79.91803278688525,0,3.0054644808743167,0,0,14.071038251366119,56953,NA,NA,NA,NA,NA,NA,NA,NA,NA
LPA56 - MONO COUNTY,MONO,CA2600633,WHITMORE POOL,NC,City,1,50,3/13/19,NA,Mar-19,Whitmore Ballfields,CA2600540,City,Bacteriological,Quality,0,1,0,0,0,SWRCB,Voluntary Consolidation,Physical,Voluntary,NA,-118.81187,37.630097,Both,GW,GW,30,22.85012285012285,77.14987714987716,62.026239067055386,0,2.259475218658892,0,0,35.714285714285715,70781,NA,NA,NA,NA,NA,NA,NA,NA,NA
LPA69 - SAN JOAQUIN COUNTY,SAN JOAQUIN,CA3901330,CHEROKEE FREIGHT LINES WATER SYSTEM,NC,Private (other),1,50,9/19/19,NA,Sep-19,California Water Service- Stockton,CA3910001,IOU,bacteriological,Quality,0,1,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-121.253866,37.991519,Both,GW,SWP,173272,16.752577319587626,83.24742268041237,32.874015748031496,1.1811023622047243,6.791338582677166,0,4.23228346456693,54.92125984251969,42708,58.202371154113955,41.797628845886045,17.29908913240974,8.983160280254397,9.412682550420689,0.14637373972294063,0.21757671168048803,60.740585045051944,NA
DISTRICT 18 - SONOMA,SONOMA,CA4910024,GEYSERVILLE WATER WORKS,C,IOU,307,1014,NA,Nov-16,Nov-16,CALIFORNIA-AMERICAN GEYSERVILLE,CA4910024,IOU,bacteriological,Quality,0,1,0,0,0,Private,Managerial,Managerial,Voluntary,NA,-122.9045833,38.7070558,Tool,GW,GW,1014,38.23529411764706,61.76470588235294,74.22096317280453,0,1.9830028328611897,0,0,19.97167138810198,111085,34.33775140270825,65.66224859729174,73.61022069761806,0,1.5711853320714904,0,0,18.814786365711225,114161.84388194772
LPA82 - TEHAMA COUNTY,TEHAMA,CA5200516,LAZY CORRAL MOBILE HOME PARK,C,MHP,37,103,3/15/2021,NA,Mar-21,CITY OF CORNING,CA5210001,City,BACTERIOLOGICAL,Quality,0,1,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-122.1959048,39.9212578,Both,GW,GW,7663,65.94936708860759,34.050632911392405,28.756157635467982,0,3.201970443349754,1.1699507389162562,0,63.608374384236456,26353,48.08412865870274,51.91587134129725,40.048600677414974,0.8133408448497063,1.1598472508229234,2.0694692625138957,0.052313958372160095,48.26743440939457,43036.489300492736
LPA39- El Dorado County,EL DORADO,CA0900586,A & A LAKE TAHOE INN,NC,Private (other),2,25,10/16/2018,NA,Oct-18,South Tahoe PUD,CA0910002,PUD,Bacteriological,Quality,0,1,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-119.963042,38.946206,Both,GW,GW,121124,42.4,57.599999999999994,32.82442748091603,0,5.2344601962922575,0,0,57.579062159214836,56222,47.85091019580782,52.14908980419217,65.39620759494996,0.6259236038519519,5.230386207376091,0.1207859482393177,0.07725800661849254,25.028566276663216,NA
LPA61 - PLACER COUNTY,PLACER,CA3103257,LDS RECREATION BALL PARK,NC,Private (other),1,25,12/5/2018,NA,Dec-18,Placer County Water Agency,CA3110025,Special Act District,Bacteriological,Quality,0,1,0,0,0,private,Voluntary Consolidation,Physical,Voluntary,NA,-121.1672176,38.83324,Both,GW,SW,83546,20.63273727647868,79.36726272352132,69.90291262135922,4.178978471929084,0.1266357112705783,2.2794428028704092,0,15.745040101308568,206106,28.55082492643422,71.44917507356577,70.2494341754771,1.721729148297812,9.411516216254038,0.27089435068636825,0.12817987591450297,12.689042103499219,NA
