Regulating_agency,County,SystemID,System_Name,System_Type,Institution_type,Connections,Population,Inactivation_Date,Activity_date_from_tool,Date_combined,Receiving_Water_System,Receiving_System_ID,Receiving_System_Institution_Type,Issue_SWRCB,Issue_summary,Issue_capacity,Issue_quality,Issue_TMF,Issue_disaster,Issue_sustainability,Funding_Source,Consolidation_Type,Physical_or_Mangerial,Mandatory_or_voluntary,Story_link,long,lat,Data_source,Notes,Notes_Suzanne,Remove?,2016_proxydata_pop_con_type_county,Number_systems_involved,Unique_project,Consolidatedsystem_primary_source_combined,EPA_2021_source,Consolidatedsystem_primary_source_combinedFINAL,Receiving_2021_source,Receiving_2021_pop,Receiving_2021_systemtype,Distance(m),Prox_ord,CES_Receiving_Polygon,DistNote,Vetted_address,GEOID,NAME,Race.estimate.total.x,B03002_001M,Race.white.alone.x,B03002_003M,Race.black.alone.x,B03002_004M,Race.native.alone.x,B03002_005M,Race.asian.alone.x,B03002_006M,Race.PI.alone.x,B03002_007M,Race.hispanicorlatino.x,B03002_012M,Median.hh.income,B19013_001M,Tenure.estimate.total.x,B25003_001M,Tenure.owner.x,B25003_002M,Tenure.renter.x,B25003_003M,Households.total.x,B11001_001M,SHAPE_Leng_receiving,SHAPE_Area_receiving,Households.total.y,Income.aggregatecount,Race.asian.alone.y,Race.black.alone.y,Race.estimate.total.y,Race.hispanicorlatino.y,Race.native.alone.y,Race.PI.alone.y,Race.white.alone.y,Tenure.estimate.total.y,Tenure.owner.y,Tenure.renter.y
DISTRICT 19 - TEHACHAPI,KERN,CA1502247,MADERA CO SA NO 19-ROLLING HILLS,C,CSA,63,82,NA,NA,Mar-19,BAKMAN WATER-ROLLING HILLS,CA2010009,IOU,NA,NA,NA,NA,NA,NA,NA,NA,Voluntary Consolidation,Managerial,Voluntary,NA,NA,NA,Additional cases,NA,"confirm ""managerial consolidation"" definition",No,No,NA,Yes,GW,GW,GW,GW,1106,Community water system,NA,NA,NA,Not in top 50,1262 ROSAMOND BLVD ROSAMOND CA 93560,060290058042,"Block Group 2, Census Tract 58.04, Kern County, California",1771,790,399,220,546,612,0,13,71,94,0,13,755,527,NA,NA,578,216,98,64,480,214,578,216,6791.75715417,1932401.36224,15.133872021208864,1631628.1442225913,1.2247064063406017,1.1897147947308704,43.459581619286496,11.494744413796791,0.33242031029244906,0.03499161160973148,27.503406725248944,15.133872021208864,14.66148526447749,0.472386756731375
NA,SAN BERNARDINO,CA3610060,SBDNO COUNTY SERVICE AREA W-1,C,CSA,647,1515,NA,NA,Jul-15,BDVWA - GOAT MOUNTAIN ID,CA3610060,Special Act District,NA,NA,NA,NA,NA,NA,NA,NA,Managerial,Managerial,Voluntary,NA,NA,NA,Inst. diversity paper,Annexed into larger system july 2015. Was county service area now part of special act district,Yes,No,Yes,NA,Yes,NA,GW,GW,GW,1300,Community water system,NA,NA,NA,Not in top 50,622 Jemez Trail Yucca Valley CA 92284,060710104352,"Block Group 2, Census Tract 104.35, San Bernardino County, California",697,179,512,153,0,13,47,31,0,13,0,13,132,93,34818,11116,337,73,250,62,87,50,337,73,38144.075972,34831755.8379,154.44824079642194,NA,0.8817384882655294,12.32925046351944,352.3210650835425,49.730570800180615,0.24670811840100948,0,277.28592755795165,154.44824079642194,140.85623574483745,13.592005051584508
DISTRICT 13 - SAN BERNARDINO,SAN BERNARDINO,CA3610061,DWP - SUGARLOAF/ERWIN LAKE,C,City,4000,3422,11/27/19,NA,Nov-19,Big Bear Lake DWP - Big Bear System,CA3610044,City,source/storage capacity,Capacity,1,0,0,0,0,SWRCB,Voluntary Consolidation,Physical,Voluntary,NA,-116.886257,34.246618,Both,NA,NA,No,No,2,Yes,GW,NA,GW,GW,14368,Community water system,NA,NA,NA,NA,41972 GARSTIN DRIVE BIG BEAR LAKE CA 92315,060710112031,"Block Group 1, Census Tract 112.03, San Bernardino County, California",824,172,575,159,4,9,4,9,0,13,0,13,237,92,47222,13114,394,82,257,79,137,51,394,82,65041.0412191,38103983.5403,2304.4268665520176,NA,90.08906359988748,18.65555161953207,5580.877812018166,1694.0078577824281,78.62973855375863,11.245327070322087,3662.85429302766,2304.4268665520176,1323.614482572185,980.8123839798325
DISTRICT 24 - TULARE,TULARE,CA5410033,PRATT MUTUAL WATER CO,C,MWC,279,1500,NA,May-16,May-16,City of Tulare,CA5410015,City,Arsenic,Quality,0,1,0,0,0,SWRCB,Mandatory consolidation,Physical,Mandatory,HTTPS://WWW.WATERBOARDS.CA.GOV/DRINKING_WATER/CERTLIC/DRINKINGWATER/DOCUMENTS/PARTNERSHIP_SUCCESS/PRATT_MUTUAL.PDF,-119.355187,36.167302,Tool,NA,NA,No,No,2,Yes,GW,NA,GW,GW,65982,Community water system,1023.824278,1,NA,NA,538 W. MATHENY TULARE CA 93274,061070031002,"Block Group 2, Census Tract 31, Tulare County, California",2148,399,360,105,49,53,16,17,0,13,0,13,1671,396,50511,8912,539,80,251,62,288,65,539,80,116261.638821,71115692.2612,14982.69054282321,NA,1152.7352646948902,1005.1713847858442,51568.07946596257,32475.533021988675,302.08257001475465,90.34855150153628,15081.149085599622,14982.69054282321,8182.301420903846,6800.389121919363
"
DISTRICT 11 - MERCED",MADERA,CA2010013,HILLVIEW WATER CO- COARSEGOLD,C,IOU,25,83,NA,Jun-20,Jun-20,CAL AM - COARSEGOLD,CA2010013,IOU,MONITORING & REPORTING,TMF Capacity,0,0,1,0,0,None,Managerial,Managerial,Voluntary,NA,-119.7036,37.217101,Both,NA,NA,No,No,NA,Hillview,NA,GW,GW,GW,83,Community water system,NA,NA,NA,NA,46109 Rd 417 Coarsegold CA 93614,060390001102,"Block Group 2, Census Tract 1.10, Madera County, California",2413,538,1782,517,17,30,68,54,0,13,0,13,416,82,82641,15275,955,249,867,252,88,63,955,249,3589.3175954,890050.055665,33.42862317490175,2762574.8477970557,0,0.5950644963071515,84.4641546817151,14.561578262575003,2.380257985228606,0,62.376760730549655,33.42862317490175,30.34828931166473,3.08033386323702
LPA87 - YOLO COUNTY,YOLO,CA5700712,DUNNIGAN WATER WORKS,C,IOU,173,400,Aug-16,NA,Aug-16,CAL AM - DUNNIGAN,CA5700712,IOU,None,None,0,0,0,0,0,None,Managerial,Managerial,Voluntary,NA,-121.953173,38.8646105,Inst. diversity paper / tool,"Dunnigan water works, an IOU was acquired by Cal am another IOU in 2015 (end)","Yes, was added to map last refresh",No,No,NA,Yes,NA,GW,GW,GW,400,Community water system,NA,NA,NA,NA,5160 County Road 99W Dunnigan CA 95937,061130114002,"Block Group 2, Census Tract 114, Yolo County, California",1629,420,721,294,0,13,0,13,35,55,0,13,867,367,31111,18291,662,160,388,120,274,123,662,160,121698.677726,73967488.8617,115.60017023228613,NA,4.023283824370831,4.9970875954345075,308.061613536056,162.2453038196143,2.1077938890038136e-5,0,126.66685296688398,115.60017023228613,64.74931413628228,50.85085609600385
"
DISTRICT 11 - MERCED",MADERA,CA2010014,HILLVIEW WATER CO-GOLDSIDE,C,IOU,309,1020,NA,Jun-20,Jun-20,CAL AM - GOLDSIDE,CA2010014,IOU,"IRON, MANGANESE",Quality,0,1,0,0,0,None,Managerial,Managerial,Voluntary,NA,-119.7172959,37.34688678,Both,NA,NA,No,No,NA,Hillview,NA,GW,GW,GW,1020,Community water system,NA,NA,NA,NA,45735 N Oakview Dr Oakhurst CA 93644,060390001033,"Block Group 3, Census Tract 1.03, Madera County, California",1295,366,1065,378,0,13,0,13,22,36,0,13,184,162,68814,20253,473,117,348,116,125,91,473,117,11694.6388832,4199460.82026,53.19964167769339,3606084.859631112,1.3002547060874088,0,138.78070862361227,14.563948856462885,0,0,119.6079353677082,53.19964167769339,38.50364766106239,14.695994016631005
District 11 - Merced,MERCED,CA2410008,"MEADOWBROOK WATER COMPANY OF MERCED, INC",C,Private (other),1713,5650,NA,Sep.2019,Sep-19,CAL AM - MEADOWBROOK,CA2410008,Private (other),Coliforn,Quality,0,1,0,0,0,None,Managerial,Managerial,Voluntary,NA,-120.5265213,37.3210238,Tool,NA,NA,No,No,NA,Yes,NA,GW,GW,GW,5650,Community water system,NA,NA,NA,NA,2272 MEADOWBROOK AVENUEMERCED CA 95340,060470009031,"Block Group 1, Census Tract 9.03, Merced County, California",3751,779,1424,644,51,53,0,13,1484,519,0,13,583,298,53356,13018,857,260,611,263,246,123,857,260,33396.7417496,44207289.3072,2833.176265852618,180113443.4890383,2289.4014277766196,192.81927263669127,10209.258345920536,3910.7796671442306,17.84461558372257,0,3446.196773815404,2833.176265852618,1960.8369728461605,872.3392930064576
"
DISTRICT 11 - MERCED",MADERA,CA2010007,HILLVIEW WC-OAKHURST/SIERRA LAKES,C,IOU,1032,3403,NA,Jun-20,Jun-20,CAL AM - OAKHURST,CA2010007,IOU,"ARSENIC, URANIUM",Quality,0,1,0,0,0,None,Managerial,Managerial,Voluntary,NA,-119.6491003,37.3347617,Both,NA,NA,No,No,NA,Hillview,NA,GW,GW,GW,3403,Community water system,NA,NA,NA,NA,40041 CA 49 Oakhurst CA 93644,060390001032,"Block Group 2, Census Tract 1.03, Madera County, California",974,378,791,374,0,13,40,61,0,13,0,13,94,115,31765,30191,404,130,176,118,228,98,404,130,21962.1945409,18791794.6321,323.1324686734543,23180811.850075245,22.086226877235077,0,856.5873541550757,179.89905222358544,3.573699254157778,0,643.2736169639215,323.1324686734543,257.76144879275125,65.37101988070305
"
DISTRICT 11 - MERCED",MADERA,CA2010012,HILLVIEW WATER CO-RAYMOND,C,IOU,96,317,NA,Jun-20,Jun-20,CAL AM - RAYMOND,CA2010012,IOU,"ARSENIC, URANIUM",Quality,0,1,0,0,0,None,Managerial,Managerial,Voluntary,NA,-119.9060009,37.2193176,Both,NA,NA,No,No,NA,Hillview,NA,GW,GW,GW,317,Community water system,NA,NA,NA,NA,32281 Front St Raymond CA 93653,060390001091,"Block Group 1, Census Tract 1.09, Madera County, California",1515,288,1146,287,0,13,5,10,26,28,5,9,231,109,44276,11191,630,118,509,125,121,52,630,118,10832.2871411,2649521.20434,2.262161522417075,100159.4635665384,0.09335904695689515,0,5.439959851526775,0.8294592248862608,0.01795366287632599,0.01795366287632599,4.114979531253917,2.262161522417075,1.8276828808099859,0.43447864160708893
District 09- Sacramento,SACRAMENTO,CA3410023,FRUITRIDGE VISTA WATER COMPANY,C,IOU,4761,15712,NA,Nov-19,Nov-19,CAL AM FRUITRIDGE VISTA,CA3410023,IOU,None,None,0,0,0,0,0,Private,Managerial,Managerial,Voluntary,NA,-121.460664,38.522295,Tool,NA,NA,No,No,NA,Yes,NA,GW,GW,GW,15385,Community water system,NA,NA,NA,NA,4411 47th Ave Sacramento 95824,060670046043,"Block Group 3, Census Tract 46.04, Sacramento County, California",1149,606,164,131,22,37,0,13,368,366,0,13,595,463,54837,26239,375,127,177,80,198,110,375,127,20335.0261142,12641538.3668,6929.872630560699,299343821.9331345,4252.2194276411965,2636.9680964934328,23058.260252205786,10573.011058903461,70.47355568601624,418.8319559739388,3380.414889732291,6929.872630560699,2779.610236198901,4150.262394361797
LPA64 - SACRAMENTO COUNTY,SACRAMENTO,CA3400140,ASPEN GROVE MH & RV PARK,C,MHP,35,55,7/12/18,NA,Jul-18,Cal American Water-Rosemont,CA3410010,IOU,None,None,0,0,0,0,0,private,Voluntary Consolidation,Physical,Voluntary,NA,-121.308278,38.585602,Both,NA,NA,No,No,2,Yes,GW,NA,GW,GW,53563,Community water system,16.72760602,2,1,NA,10299 McCracken Dr. Rancho Cordova CA 95670,060670090081,"Block Group 1, Census Tract 90.08, Sacramento County, California",1670,676,897,528,126,106,0,13,391,446,0,13,246,123,64219,7522,529,153,396,120,133,114,529,153,39175.474995,55024133.7529,20544.948484391214,NA,6253.73458013587,7660.699236969853,57261.87627735675,12993.32888127594,122.55697107996303,441.44374061907627,25484.59407066937,20544.948484391214,11013.977696698634,9530.97078769258
DISTRICT 06 - SANTA BARBARA,VENTURA,CA5610010,RIO PLAZA WATER COMPANY,C,IOU,516,1716,NA,May-19,May-19,CAL AMERICAN WC - RIO PLAZA,CA5610010,IOU,None,None,0,0,0,0,0,NA,Managerial,Managerial,Voluntary,NA,-119.1701857,34.2295363,Tool,NA,NA,No,No,NA,Yes,NA,GW,GW,GW,1716,Community water system,1397.193477,7,NA,NA,600 Simon Way Oxnard CA 93036,061110050061,"Block Group 1, Census Tract 50.06, Ventura County, California",1527,435,204,112,0,13,0,13,0,13,0,13,1286,393,74554,14626,415,103,270,80,145,81,415,103,4110.43011694,777495.504925,296.7006414250547,20707664.150829546,2.1786306595677534,0.026608829898312206,1064.237492631956,905.6353867433058,0.031109826000514273,0.02925647466431342,134.7657684525273,296.7006414250547,183.04850948719775,113.65213193785692
DISTRICT 24 - TULARE,TULARE,CA5400507,VISALIA/ SEQUOIA SOUTH KOA,NC,MHP,83,169,11/20/17,NA,Nov-17,Cal Water Service-Visalia,CA5410016,IOU,Nitrate/Bacteriological,Quality,0,1,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-119.406193,36.349414,Both,NA,NA,No,No,2,Yes,GW,NA,GW,GW,141165,Community water system,236.8240248,1,NA,NA,7480 AVENUE 308 VISALIA CA 93291,061070009012,"Block Group 2, Census Tract 9.01, Tulare County, California",4869,1151,444,272,0,13,0,13,271,136,0,13,3724,979,59750,38977,1289,289,889,179,400,258,1289,289,157492.052212,138382334.386,38126.06576804115,NA,6631.910865284477,2570.2872943833663,116393.65032485196,61227.420197838626,488.22557122711333,40.664337273463154,43496.95034816417,38126.06576804115,22113.56107916293,16012.504688878224
LPA57 - MONTEREY COUNTY,MONTEREY,CA2702624,UNI-KOOL WS,NTNC,Private (other),6,180,7/12/17,NA,Jul-17,Cal-Water,CA2710010,IOU,Nitrate,Quality,0,1,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-120.7617451,35.81280886,Both,NA,NA,No,No,2,Yes,GW,NA,GW,GW,106858,Community water system,NA,NA,NA,Not in top 50,730 W. Market St. Salinas CA 93901,060530018013,"Block Group 3, Census Tract 18.01, Monterey County, California",153,132,0,13,0,13,0,13,0,13,0,13,153,132,NA,NA,38,33,8,15,30,29,38,33,55715.1923136,70125117.0471,29651.62062194112,NA,7388.657350971557,1408.607370093762,103327.43494379103,75934.64583796043,109.12197565439442,96.62645858879297,16413.876394319428,29651.62062194112,14478.332064927616,15173.288557013506
LPA49 - LA COUNTY,LOS ANGELES,CA1900009,ADAMS RANCH MUTUAL,C,MWC,177,500,NA,March.2016,Mar-16,CAL/AM WATER COMPANY - SAN MARINO,CA1910139,IOU,MONITORING & REPORTING,TMF Capacity,0,0,1,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-118.0668405,34.0873692,Tool,NA,NA,No,No,2,Yes,GW,NA,GW,SWP,47626,Community water system,86.62728308,2,NA,NA,9227 Pitkin St. Rosemead CA 91770,060374322021,"Block Group 1, Census Tract 4322.02, Los Angeles County, California",1502,461,22,17,1,3,0,13,1031,442,0,13,448,281,72500,15686,406,109,229,82,177,99,406,109,57230.0574693,32520007.2677,16925.225798627165,NA,31033.94585052698,395.29137224625003,56647.85591396533,15781.316374765367,256.6637766938479,85.78813859197032,8090.9020816222765,16925.225798627165,10386.518403347574,6538.70739527959
DISTRICT 13 - SAN BERNARDINO,SAN BERNARDINO,CA3610853,CYA-INACTIVATED 20160108,C,State,1,1,NA,Jan-16,Jan-16,CALIFORNIA INSTITUTION FOR MEN,CA3610850,State,Coliform,Quality,0,1,0,0,0,Other,Voluntary Consolidation,Physical,Voluntary,NA,-117.656878,33.979422,Tool,NA,NA,No,No,2,Yes,GWP,NA,GWP,GW,10667,Community water system,NA,NA,NA,NA,"14901 Central Avenue, Chino, CA 91710",060710122021,"Block Group 1, Census Tract 122.02, San Bernardino County, California",10299,920,3124,357,1915,247,96,47,381,121,73,47,4120,552,NA,NA,0,21,0,21,0,21,0,21,17496.235272,6381509.27359,45.09094608779669,NA,231.95535751284757,1064.8240906066662,5724.369296785743,2280.8207122371236,52.51751521801262,39.35667507716418,1726.9288339860243,45.09094608779669,9.205919200427543,35.88502688736914
LPA69 - SAN JOAQUIN COUNTY,SAN JOAQUIN,CA3900726,BENTLEY TRAILER COURT,C,MHP,28,84,9/4/2018,NA,Sep-18,California Water Service - Stockton,CA3910001,IOU,Arsenic,Quality,0,1,0,0,0,private,Voluntary Consolidation,Physical,Voluntary,NA,-121.258456,37.950917,Both,NA,NA,No,No,2,Yes,GW,NA,GW,SWP,173272,Community water system,10.70729565,2,1,NA,2189 E Taylor St. Stockton CA 95205,060770019001,"Block Group 1, Census Tract 19, San Joaquin County, California",1085,453,12,21,129,158,0,13,0,13,0,13,944,450,54667,22499,332,117,97,58,235,98,332,117,100352.00064,162040975.289,51307.50251022039,NA,15457.424542693201,14752.066846315245,164219.12095614392,99747.6548246033,240.3736686836471,357.30256332698116,28408.412106663098,51307.50251022039,21445.319469315586,29862.183040904805
