"","PWS.ID","PWS.Name.x","Counties.Served.x","PWS.Type.2015","PWS.Name.y","PWS.Type","Counties.Served.y","match"
"21","CA3901304","BROOKSIDE MEADOWS ESTATE","San Joaquin","Community water system","ENCLAVE AT THE DELTA","Community water system","San Joaquin",0.208333333333333
"22","CA5402041","PENNY WISE MOTEL","Tulare","Transient non-community system","BIG B TRAVEL CENTER 2","Transient non-community system","Tulare",0.238095238095238
"23","CA4500102","BEAR MOUNTAIN RV RESORT","Shasta","Transient non-community system","NORTH REDDING RV VILLAGE","Community water system","Shasta",0.25
"24","CA4200731","ALEGRIA MWC","Santa Barbara","Community water system","ALEGRIA DOMESTIC MUTUAL WATER COMPANY","Community water system","Santa Barbara",0.297297297297297
"25","CA5700728","GUINDA COMMONS","Yolo","Transient non-community system","COMMONS FARM KITCHEN","Transient non-community system","Yolo",0.15
"26","CA1700650","JELLYSTONE PARK RV AND CAMP RESORT","Lake","Transient non-community system","MANDALA WATER SYSTEM","Transient non-community system","Lake",0.176470588235294
"27","CA2000275","CHILDREN'S HOSPITAL CENTRAL CALIF","Madera","Non-Transient non-community system","VALLEY CHILDREN'S HOSPITAL","Non-Transient non-community system","Madera",0.363636363636364
"28","CA0707623","MCCOSKER RANCH","Contra Costa","Community water system","WILCOX STATION RANCH","Community water system","Contra Costa",0.45
"29","CA2701466","RYAN RANCH WS","Monterey","Non-Transient non-community system","CAL AM WATER COMPANY - RYAN RANCH","Non-Transient non-community system","Monterey",0.212121212121212
"30","CA2702320","GENERAL FARMS (WATER SYSTEMS)","Monterey","Non-Transient non-community system","HITCHCOCK RD WS #01","Community water system","Monterey",0.137931034482759
"31","CA5800205","WALNUT TREE","Yuba","Transient non-community system","MELA'S MEXICAN RESTAURANT","Transient non-community system","Yuba",0.16
"32","CA0706031","GENOS DELI STATION","Contra Costa","Transient non-community system","COUNTRY JUNCTION DELI","Transient non-community system","Contra Costa",0.142857142857143
"33","CA1600002","EL DORADO MOBILE PARK","Kings","Community water system","SUNSET VISTA ESTATES MHP","Community water system","Kings",0.125
"34","CA0300011","MELODY OAKS TRAILER PARK","Amador","Community water system","SUTTER PINES MHP","Community water system","Amador",0.166666666666667
"35","CA2400231","John B. Sanfilippo & Son, Inc.","Merced","Non-Transient non-community system","JOHN B. SANFILIPPO & SON, INC.","Non-Transient non-community system","Merced",0.466666666666667
"36","CA2400248","Yosemite Valley Beef Packing Co Inc","Merced","Non-Transient non-community system","YOSEMITE VALLEY BEEF PACKING CO INC","Non-Transient non-community system","Merced",0.314285714285714
"37","CA5400696","ARMY CORPS ENGS-NORTH  CAMP 4-2","Tulare","Transient non-community system","USACE - TULE RECREATION AREA","Transient non-community system","Tulare",0.0967741935483871
"38","CA0409184","CHICO GRANGE #486","Butte","Transient non-community system","CHICO COMMUNITY GUILD","Transient non-community system","Butte",0.380952380952381
"39","CA1200715","CALIFORNIA REDWOOD CO. - KORBEL","Humboldt","Community water system","GREEN DIAMOND RESOURCE COMPANY - KORBEL","Community water system","Humboldt",0.41025641025641
"40","CA5403048","JD HEISKELL HOLDINGS LLC","Tulare","Non-Transient non-community system","J.D. HEISKELL & CO.","Non-Transient non-community system","Tulare",0.458333333333333
"41","CA1000621","SHAVER LAKE PUB & GRUB","Fresno","Transient non-community system","POWELL'S PROPERTIES","Transient non-community system","Fresno",0.181818181818182
"42","CA4300520","IDYLWILD WATER SYSTEM","Santa Clara","Community water system","RAINERI MUTUAL WATER COMPANY","Community water system","Santa Clara",0.285714285714286
"43","CA5401082","VENTURA COASTAL CORP","Tulare","Non-Transient non-community system","VENTURA COASTAL, LLC - VISALIA DIVISION","Non-Transient non-community system","Tulare",0.435897435897436
"44","CA5403145","WAWONA PACKING COMPANY LLC","Tulare","Non-Transient non-community system","PRIMA WAWONA - CUTLER PLANT","Non-Transient non-community system","Tulare",0.185185185185185
"45","CA4901370","SUTTER MEDICAL CENTER OF SANTA ROSA","Sonoma","Non-Transient non-community system","SUTTER SANTA ROSA REGIONAL HOSPITAL","Non-Transient non-community system","Sonoma",0.314285714285714
"46","CA1805001","LASSEN COUNTY SERVICE AREA NO. 2","Lassen","Non-Transient non-community system","JOHNSTONVILLE WATER SYSTEM","Non-Transient non-community system","Lassen",0.21875
"47","CA5102025","BLUE ANGEL APARTMENTS W.S.","Sutter","Community water system","YUBA APARTMENT HOMES","Community water system","Sutter",0.461538461538462
"48","CA2900601","MCCOURTNEY ROAD CENTER > JOHN MUIR CHART","Nevada","Non-Transient non-community system","NJUHSD MCCOURTNEY RD.","Transient non-community system","Nevada",0.15
"49","CA2600607","MEADOWCLIFF RESORT","Mono","Transient non-community system","MEADOWCLIFF LODGE & COLEVILLE/WALKER KOA","Transient non-community system","Mono",0.375
"50","CA0900118","PEART'S LITTLE PLACE - RESTAURANT","El Dorado","Transient non-community system","GRIZZLY FLAT WATER SYSTEM","Transient non-community system","El Dorado",0.242424242424242
"51","CA1503651","SOUZA FAMILY VINEYARD","Kern","Transient non-community system","TEHACHAPI WINE AND CATTLE CO.","Transient non-community system","Kern",0.206896551724138
"52","CA4500329","BLACK BUTTE PLAZA WATER SYSTEM","Shasta","Transient non-community system","STORAGESMITH, LLC DBA LASSEN LANDING","Transient non-community system","Shasta",0.25
"53","CA4710008","CITY OF MT. SHASTA","Siskiyou","Community water system","MT. SHASTA, CITY OF","Community water system","Siskiyou",0.157894736842105
"54","CA1500489","BRITE LAKE COMMUNITY ASSOCIATION","Kern","Community water system","BRITE LAKE MUTUAL WATER COMPANY","Community water system","Kern",0.4375
"55","CA3500916","JEHOVAH S WITNESS CHURCH","San Benito","Transient non-community system","KINGDOM HALL (FALLON RD)","Transient non-community system","San Benito",0.0833333333333334
"56","CA3400377","DELTA BAY CLUB","Sacramento","Transient non-community system","PARK DELTA BAY","Transient non-community system","Sacramento",0.285714285714286
"57","CA0400091","BUZZTAIL COMMUNITY SERVICE DISTRICT","Butte","Community water system","DEL ORO WATER COMPANY - BUZZTAIL DIST.","Community water system","Butte",0.236842105263158
"58","CA5200510","SNUG HARBOR MOBILE VILLAGE","Tehama","Community water system","RIVER RANCH MOBILE HOME PARK","Community water system","Tehama",0.357142857142857
"59","CA5100125","LEXINGTON INN & SUITES","Sutter","Transient non-community system","HARMONY VILLAGE","Community water system","Sutter",0.181818181818182
"60","CA1000611","KEN'S CLOTHING AND GIFTS","Fresno","Transient non-community system","KEN'S SHOPPING CENTER","Transient non-community system","Fresno",0.458333333333333
"61","CA5610011","SANTA PAULA WATER SYSTEM","Ventura","Community water system","CITY OF SANTA PAULA","Community water system","Ventura",0.208333333333333
"62","CA5603116","SUNRISE RANCH","Ventura","Non-Transient non-community system","NISHI QUALITY FLOWERS, INC.","Non-Transient non-community system","Ventura",0.259259259259259
"63","CA4210700","VANDENBERG AIR FORCE BASE","Santa Barbara","Community water system","AMERICAN WATER O&M, LLC - VAFB","Community water system","Santa Barbara",0.233333333333333
"64","CA3510007","HOLLISTER/SUNNYSLOPE WTA","San Benito","Community water system","SAN BENITO COUNTY WATER DISTRICT","Community water system","San Benito",0.21875
"65","CA1503666","SOS CRANE AND TRUCKING","Kern","Non-Transient non-community system","FREON LOGISTICS","Non-Transient non-community system","Kern",0.181818181818182
"66","CA5400549","CLUB ROYAL OAK","Tulare","Transient non-community system","KINGS RIVER RV RESORT, LLC","Transient non-community system","Tulare",0.153846153846154
"67","CA4000620","SATCOM WATER SUPPLY--CAMP ROBERTS","San Luis Obispo","Non-Transient non-community system","USASA-POM ENCLAVE - CAMP ROBERTS","Non-Transient non-community system","San Luis Obispo",0.484848484848485
"68","CA1000199","ALICE MANOR","Fresno","Community water system","FOWLER CARE CENTER","Community water system","Fresno",0.333333333333333
"69","CA4010006","PASO ROBLES BEACH WATER ASSN","San Luis Obispo","Community water system","CAYUCOS BEACH MUTUAL WATER COMPANY","Community water system","San Luis Obispo",0.382352941176471
"70","CA4901353","JOHN TYLER WINES","Sonoma","Transient non-community system","BACIGALUPI VINEYARDS","Transient non-community system","Sonoma",0.25
"71","CA1000607","BLACKBURN FAMILY IRREVOCABLE TRUST","Fresno","Non-Transient non-community system","GOLD LEAF FARMING LLC","Non-Transient non-community system","Fresno",0.176470588235294
"72","CA4901407","BISAGNO WATER SYSTEM","Sonoma","Transient non-community system","SANTA ROSA LIQUOR AND DELI","Transient non-community system","Sonoma",0.230769230769231
"73","CA5800893","YUBA COUNTY 4-H CAMP","Yuba","Transient non-community system","YUBA COUNTY LEADERSHIP & ADVENTURE CENTE","Transient non-community system","Yuba",0.375
"74","CA0400019","PACIFIC HEIGHTS MHP","Butte","Community water system","OROVILLE MOBILE HOME PARK","Community water system","Butte",0.2
"75","CA4000700","EMMANUEL HEIGHTS","San Luis Obispo","Transient non-community system","GRANITE RIDGE","Transient non-community system","San Luis Obispo",0.25
"76","CA4200919","GOOD SAMARITAN SHELTER","Santa Barbara","Transient non-community system","THE BRIDGEHOUSE","Transient non-community system","Santa Barbara",0.227272727272727
"77","CA4710004","CITY OF ETNA","Siskiyou","Community water system","ETNA, CITY OF","Community water system","Siskiyou",0.153846153846154
"78","CA4700563","FINLANDIA MOTEL","Siskiyou","Transient non-community system","LOGE CAMP MT. SHASTA","Transient non-community system","Siskiyou",0.1
"79","CA1500597","GRIMMWAY ENTERPRISES, INC.","Kern","Non-Transient non-community system","GRIMMWAY FARMS- FROZEN FOODS","Non-Transient non-community system","Kern",0.392857142857143
"80","CA2203059","JACK BOYD SCHOOL","Mariposa","Transient non-community system","GREEN MEADOWS OUTDOOR SCHOOL","Transient non-community system","Mariposa",0.357142857142857
"81","CA2000571","SNOWLINE WATER SYSTEM","Madera","Transient non-community system","SNOWLINE","Transient non-community system","Madera",0.380952380952381
"82","CA2500811","SULLEY'S TRAILER LODGE","Modoc","Transient non-community system","SULLY'S RV PARK","Transient non-community system","Modoc",0.454545454545455
"83","CA1503654","VALLEY MARKET WATER SYSTEM","Kern","Transient non-community system","COUNTRYSIDE MKT & RESTRNT - COMANCHE","Transient non-community system","Kern",0.166666666666667
"84","CA4010011","MORRO BAY WATER DEPARTMENT","San Luis Obispo","Community water system","MORRO BAY PW DEPT - WATER DIVISION","Community water system","San Luis Obispo",0.470588235294118
"85","CA1000459","JOHNNY QUIK FOOD STORE #127","Fresno","Transient non-community system","ROAD RUNNER FOOD AND FUEL","Transient non-community system","Fresno",0.296296296296296
"86","CA4901357","RIVERS EDGE KAYAK & CANOE TRIPS","Sonoma","Transient non-community system","COVIN WATER SYSTEM","Transient non-community system","Sonoma",0.161290322580645
"87","CA4901261","STRYKER SONOMA WINERY & VINEYARDS","Sonoma","Transient non-community system","FOLEY SONOMA WINERY","Transient non-community system","Sonoma",0.454545454545455
"88","CA3500830","HERNANDEZ LABOR CAMP","San Benito","Non-Transient non-community system","FALLON ROAD LABOR HOUSING","Community water system","San Benito",0.32
"89","CA4600086","HERRINGTON'S SIERRA PINES","Sierra","Transient non-community system","SIERRA PINES RESORT","Transient non-community system","Sierra",0.24
"90","CA5010026","CITY OF MODESTO, DE HICKMAN","Stanislaus","Community water system","WATERFORD - HICKMAN","Community water system","Stanislaus",0.444444444444444
"91","CA1210007","FERNDALE - DEL ORO WATER CO.","Humboldt","Community water system","DEL ORO WATER CO-FERNDALE","Community water system","Humboldt",0.285714285714286
"92","CA5602133","BEEDY STREET WATER SYSTEM/INDUSTRIAL","Ventura","Non-Transient non-community system","BEEDY WATER COMPANY, LLC","Non-Transient non-community system","Ventura",0.388888888888889
"93","CA3210004","QUINCY COMMUNITY S.D.","Plumas","Community water system","AMERICAN VALLEY CSD","Community water system","Plumas",0.142857142857143
"94","CA2600656","CHALFANT MERCANTILE","Mono","Transient non-community system","FLO'S DINER","Transient non-community system","Mono",0.157894736842105
"95","CA1910240","VALENCIA WATER CO.","Los Angeles","Community water system","SANTA CLARITA VALLEY W.A.-VALENCIA DIVIS","Community water system","Los Angeles",0.225
"96","CA5610014","GOLDEN STATE WATER COMPANY - OJAI","Ventura","Community water system","OJAI WATER SYSTEM","Community water system","Ventura",0.303030303030303
"97","CA2410008","MEADOWBROOK WC","Merced","Community water system","CAL AM - MEADOWBROOK","Community water system","Merced",0.4
"98","CA3901414","WASTEQUIP MFG CO INC","San Joaquin","Non-Transient non-community system","MCLAUGHLIN WASTE EQUIPMENT INC","Non-Transient non-community system","San Joaquin",0.366666666666667
"99","CA5401047","CAL TRANS - TIPTON SOUTHBOUND REST STOP","Tulare","Transient non-community system","CALTRANS PHILLIP S. RAINE SFTY RSRA SB","Transient non-community system","Tulare",0.358974358974359
"100","CA5401045","CAL TRANS-TIPTON NORTHBOUND REST STOP","Tulare","Transient non-community system","CALTRANS PHILLIP S. RAINE SFTY RSRA NB","Transient non-community system","Tulare",0.289473684210526
"101","CA5401024","CAL TRANS - KINGSBURG REST STOP","Tulare","Transient non-community system","CALTRANS CHESTER H. WARLOW SFTY RSRA","Transient non-community system","Tulare",0.333333333333333
"102","CA2510800","DEVIL'S GARDEN CONSERV. CAMP","Modoc","Non-Transient non-community system","CAL FIRE-DEVIL'S GARDEN CAMP","Non-Transient non-community system","Modoc",0.357142857142857
"103","CA4901368","SONOMA WINE COMPANY","Sonoma","Non-Transient non-community system","GRATON COMMERCE CENTER","Non-Transient non-community system","Sonoma",0.227272727272727
"104","CA4900669","WENDELL WATER COMPANY (PUC)","Sonoma","Community water system","WENDELL LANE MUTUAL WATER COMPANY","Community water system","Sonoma",0.454545454545455
"105","CA1100436","T&J MOBILEHOME PARK","Glenn","Community water system","ORLAND OAKS MHP","Community water system","Glenn",0.105263157894737
"106","CA1000540","KOSH PETROLEUM","Fresno","Transient non-community system","BHANDAL, INC","Transient non-community system","Fresno",0.0714285714285714
"107","CA3610044","DWP - BIG BEAR LAKE/MOONRIDGE","San Bernardino","Community water system","BIG BEAR LAKE DWP - BIG BEAR SYSTEM","Community water system","San Bernardino",0.257142857142857
"108","CA5400553","TRAVER WATER LLC","Tulare","Community water system","DEL ORO TRAVER DISTRICT","Community water system","Tulare",0.304347826086957
"109","CA1100404","BLACK BUTTE WATER CO.","Glenn","Community water system","DEL ORO WC - BLACK BUTTE DISTRICT","Community water system","Glenn",0.393939393939394
"110","CA3100023","ROCKANNA ROYALE MOBILE HOME PARK","Placer","Community water system","AUBURN MOBILE HOME VILLAGE","Community water system","Placer",0.40625
"111","CA3100029","TIMBERLAND TRACT WATER CO","Placer","Community water system","TAHOE CITY PUD - TIMBERLAND","Community water system","Placer",0.222222222222222
"112","CA4901373","UPTICK VINEYARDS","Sonoma","Transient non-community system","BACA TASTING ROOM","Transient non-community system","Sonoma",0.117647058823529
"113","CA3700195","SACRED ROCKS RESERVE","San Diego","Transient non-community system","OUTDOOR WORLD RV PARK","Transient non-community system","San Diego",0.19047619047619
"114","CA3700235","YOUNG LIFE OAKBRIDGE CAMP","San Diego","Transient non-community system","THE OAK VENTURES, LLC","Transient non-community system","San Diego",0.12
"115","CA3700291","OCOTILLO OASIS MOBILE HOME PARK","San Diego","Community water system","OCOTILLO OASIS, LLC","Community water system","San Diego",0.483870967741935
"116","CA3200049","SIERRA SPRINGS RESORT","Plumas","Community water system","DREAM CATCHER CAMPGROUND","Transient non-community system","Plumas",0.125
"117","CA4901143","FAMILY LIFE CENTER","Sonoma","Non-Transient non-community system","SENECA FAMILY OF AGENCIES","Non-Transient non-community system","Sonoma",0.4
"118","CA4300964","BFI-THE RECYCLERY","Santa Clara","Non-Transient non-community system","NEWBY ISLAND LANDFILL, REPUBLIC SERVICES","Non-Transient non-community system","Santa Clara",0.2
"119","CA3700913","APPLE TREE INN","San Diego","Transient non-community system","APPLE WATER IS GOOD","Transient non-community system","San Diego",0.473684210526316
"120","CA3701217","JULIAN OAKS YOUTH MINISTRIES","San Diego","Transient non-community system","JULIAN OAKS CAMP","Transient non-community system","San Diego",0.464285714285714
"121","CA4710001","CITY OF DORRIS","Siskiyou","Community water system","DORRIS, CITY OF","Community water system","Siskiyou",0.0666666666666667
"122","CA0900578","AMERICAN CONSERVATION EXPERIENCE","El Dorado","Transient non-community system","COYOTE DEN","Transient non-community system","El Dorado",0.1875
"123","CA5610069","LAKE SHERWOOD CSD","Ventura","Community water system","VENTURA CWWD NO. 38 - LAKE SHERWOOD","Community water system","Ventura",0.257142857142857
"124","CA3701407","ANGELS LANDING COUNTRY INN AND RESORT","San Diego","Transient non-community system","SACRED MOUNTAIN INN","Transient non-community system","San Diego",0.297297297297297
"125","CA3600010","APPLE VALLEY RANCHOS WC","San Bernardino","Community water system","LIBERTY UTILITIES APPLE VALLEY","Community water system","San Bernardino",0.133333333333333
"126","CA3701882","SPLIT MOUNTAIN PARK","San Diego","Transient non-community system","OCOTILLO WELLS RV PARK & STORE","Transient non-community system","San Diego",0.233333333333333
"127","CA2300870","MENDOCINO SATELLITE SCHOOL","Mendocino","Non-Transient non-community system","CASPAR CREEK LEARNING COMMUNITY, INC.","Non-Transient non-community system","Mendocino",0.135135135135135
"128","CA3601061","RIVERSIDE CEMENT/PLNT ENG","San Bernardino","Non-Transient non-community system","CALPORTLAND ORO GRANDE PLANT","Non-Transient non-community system","San Bernardino",0.107142857142857
"129","CA3301935","RBI  PACKING, LLC","Riverside","Non-Transient non-community system","BAGDASARIAN PACKING THERMAL, LLC","Non-Transient non-community system","Riverside",0.4375
"130","CA5200626","PACTIV LLC","Tehama","Non-Transient non-community system","REYNOLDS CONSUMER PRODUCTS  (RED BLUFF)","Non-Transient non-community system","Tehama",0.128205128205128
"131","CA3110043","MADDEN CREEK WATER COMPANY","Placer","Community water system","TAHOE CITY PUD - MADDEN CREEK","Community water system","Placer",0.206896551724138
"132","CA3301040","BERMUDA PALMS MOBILE ESTATES","Riverside","Community water system","RIVERDALE ESTATES","Community water system","Riverside",0.428571428571429
"133","CA3110013","TAHOE CEDARS WATER COMPANY","Placer","Community water system","TAHOE CITY PUD - TAHOE CEDARS","Community water system","Placer",0.379310344827586
"134","CA5510851","DEPT. OF CORRECTIONS","Tuolumne","Community water system","CDCR - SIERRA CONSERVATION CENTER","Community water system","Tuolumne",0.303030303030303
"135","CA1503275","PARAMOUNT FARMS - KING FACILITY","Kern","Non-Transient non-community system","WP&A - KING WATER SYSTEM","Non-Transient non-community system","Kern",0.225806451612903
"136","CA1502759","PARAMOUNT FARMS - HWY 33 FACILITY","Kern","Non-Transient non-community system","WP&A - LOST HILLS WATER SYSTEM","Non-Transient non-community system","Kern",0.181818181818182
"137","CA0510016","CCWD EBBETTS PASS IMPROVEMENT DISTRICT","Calaveras","Community water system","CCWD - EBBETTS PASS","Community water system","Calaveras",0.394736842105263
"138","CA4710011","CITY OF YREKA","Siskiyou","Community water system","YREKA, CITY OF","Community water system","Siskiyou",0.0714285714285714
"139","CA1910048","CASTAIC LAKE WATER AGENCY","Los Angeles","Community water system","SANTA CLARITA VALLEY W.A.-IMPORTED DIVIS","Community water system","Los Angeles",0.3
"140","CA4901253","VML WINES","Sonoma","Transient non-community system","FLOWERS WINERY","Transient non-community system","Sonoma",0.357142857142857
"141","CA3600172","MOLYCORP MINERALS LLC","San Bernardino","Community water system","MP MINE OPERATIONS LLC","Community water system","San Bernardino",0.363636363636364
"142","CA3601040","GREEN MOUNTAIN RANCH","San Bernardino","Transient non-community system","HIDDEN ACRES","Transient non-community system","San Bernardino",0.2
"143","CA3600771","CAMP METOCHE","San Bernardino","Transient non-community system","CAMP ALANDALE","Transient non-community system","San Bernardino",0.461538461538462
"144","CA2900587","MILHOUS SCHOOL","Nevada","Non-Transient non-community system","MOUNTAIN VALLEY CHILD AND FAMILY SERVICE","Non-Transient non-community system","Nevada",0.15
"145","CA2900619","WOOD CAMP","Nevada","Transient non-community system","WOOD CAMP - WATER SYSTEM","Transient non-community system","Nevada",0.375
"146","CA0900536","TAHOE CHALET INN","El Dorado","Transient non-community system","ECONO LODGE INN AND SUITES","Transient non-community system","El Dorado",0.192307692307692
"147","CA1909645","CITY OF LANCASTER, SOCCER COMPLEX","Los Angeles","Transient non-community system","LANCASTER NATIONAL SOCCER CENTER","Transient non-community system","Los Angeles",0.333333333333333
"148","CA4710003","TOWN OF FORT JONES","Siskiyou","Community water system","FORT JONES, TOWN OF","Community water system","Siskiyou",0.210526315789474
"149","CA1910241","MESA CREST WATER CO.","Los Angeles","Community water system","LIBERTY UTILITIES - MESA CREST","Community water system","Los Angeles",0.233333333333333
"150","CA1900080","CAMP COULTER PINES (SOUTH)","Los Angeles","Transient non-community system","CAMP ELK","Transient non-community system","Los Angeles",0.230769230769231
"151","CA1900952","USFS-COLDBROOK B-11","Los Angeles","Transient non-community system","COLDBROOK CAMPGROUND","Transient non-community system","Los Angeles",0.25
"152","CA3410023","FRUITRIDGE VISTA WATER COMPANY","Sacramento","Community water system","CAL AM FRUITRIDGE VISTA","Community water system","Sacramento",0.3
"153","CA1000430","COUNTRY VIEW ALZHEIMER CENTER","Fresno","Community water system","DYCORA TRANSITIONAL LIVING","Community water system","Fresno",0.172413793103448
"154","CA4901122","MURPHY VINEYARDS LLC","Sonoma","Transient non-community system","RACK & RIDDLE CUSTOM WINE SERVICES","Transient non-community system","Sonoma",0.147058823529412
"155","CA4600009","SIERRA BROOKS PSD","Sierra","Community water system","SIERRA CSA #5, SIERRA BROOKS","Community water system","Sierra",0.321428571428571
"156","CA3610060","SBDNO COUNTY SERVICE AREA W-1","San Bernardino","Community water system","BDVWA - GOAT MOUNTAIN ID","Community water system","San Bernardino",0.172413793103448
"157","CA4910024","GEYSERVILLE WATER WORKS (PUC)","Sonoma","Community water system","CALIFORNIA-AMERICAN GEYSERVILLE (PUC)","Community water system","Sonoma",0.297297297297297
"158","CA1900975","WHITE ROCK LAKE RV PARK","Los Angeles","Community water system","CALI LAKE RV RESORT","Community water system","Los Angeles",0.347826086956522
"159","CA1910021","PARK WC - COMPTON","Los Angeles","Community water system","LIBERTY UTILITIES - COMPTON","Community water system","Los Angeles",0.444444444444444
"160","CA1910161","PARK WC - LYNWOOD","Los Angeles","Community water system","LIBERTY UTILITIES - LYNWOOD","Community water system","Los Angeles",0.444444444444444
"161","CA4810019","SAVE MART DISTRIBUTION CENTER 802","Solano","Non-Transient non-community system","NORTHBAY LOGISTICS CENTER FKA SAVEMART","Non-Transient non-community system","Solano",0.236842105263158
"162","CA4710007","CITY OF MONTAGUE","Siskiyou","Community water system","MONTAGUE, CITY OF","Community water system","Siskiyou",0.117647058823529
"163","CA4901262","RAVENSWOOD (QUARRY) WINERY","Sonoma","Non-Transient non-community system","FRANCISCAN VINEYARDS DBA QUARRY WINERY","Non-Transient non-community system","Sonoma",0.473684210526316
"164","CA1900612","UNITED METHODIST CAMP COLBY","Los Angeles","Transient non-community system","COLBY RANCH-UNITED METHODIST CAMP","Transient non-community system","Los Angeles",0.454545454545455
"165","CA4900705","GEYSERVILLE EDUCATIONAL PARK","Sonoma","Non-Transient non-community system","GEYSERVILLE  NEWTECH ACADEMY","Non-Transient non-community system","Sonoma",0.464285714285714
"166","CA1910255","NEWHALL CWD-TESORO DEL VALLE","Los Angeles","Community water system","SANTA CLARITA VALLEY W.A.-TESORO DIV.","Community water system","Los Angeles",0.27027027027027
"167","CA1910096","NEWHALL CWD-NEWHALL","Los Angeles","Community water system","SANTA CLARITA VALLEY W.A.-NEWHALL DIV.","Community water system","Los Angeles",0.342105263157895
"168","CA1910250","NEWHALL CWD-PINETREE","Los Angeles","Community water system","SANTA CLARITA VALLEY W.A.-PINETREE DIV.","Community water system","Los Angeles",0.358974358974359
"169","CA1910247","NEWHALL CWD-CASTAIC","Los Angeles","Community water system","SANTA CLARITA VALLEY W.A.-CASTAIC DIV.","Community water system","Los Angeles",0.342105263157895
"170","CA0605011","ARBUCKLE WATER COMPANY","Colusa","Community water system","DEL ORO WC - ARBUCKLE DISTRICT","Community water system","Colusa",0.2
"171","CA1900752","USFS-SAUGUS RANGER STA/WORK AREA III S-1","Los Angeles","Non-Transient non-community system","TEXAS CANYON RANGER STATION","Non-Transient non-community system","Los Angeles",0.325
"172","CA2700850","CENTRAL COAST GROWERS WS","Monterey","Non-Transient non-community system","ALTMAN PLANTS WS #03 - ESPINOSA 303","Non-Transient non-community system","Monterey",0.228571428571429
"173","CA2700853","COLOR SPOT NURSERY WS #01","Monterey","Non-Transient non-community system","ALTMAN PLANTS WS #04 -ESP 420 (PREV CS1)","Non-Transient non-community system","Monterey",0.175
"174","CA5200688","CHILDS MEADOW RESORT STORE","Tehama","Transient non-community system","VILLAGE AT THE HIGHLANDS","Transient non-community system","Tehama",0.153846153846154
"175","CA1900751","EASTSIDE ELEMENTARY","Los Angeles","Non-Transient non-community system","EASTSIDE UNION SCHOOL DISTRICT","Non-Transient non-community system","Los Angeles",0.366666666666667
