Regulating_agency,County,SystemID,System_Name,System_Type,Institution_type,Connections,Population,Inactivation_Date,Activity_date_from_tool,Date_combined,Receiving_Water_System,Receiving_System_ID,Receiving_System_Institution_Type,Issue_SWRCB,Issue_summary,Issue_capacity,Issue_quality,Issue_TMF,Issue_disaster,Issue_sustainability,Funding_Source,Consolidation_Type,Physical_or_Mangerial,Mandatory_or_voluntary,Story_link,long,lat,Data_source,Notes,Notes_Suzanne,Remove?,2016_proxydata_pop_con_type_county,Consolidatedsystem_primary_source_combined,EPA_2021_source,Consolidatedsystem_primary_source_combinedFINAL,Receiving_2021_source,Receiving_2021_pop,Vetted_address,GEOID,NAME,Race.estimate.total.x,B02001_001M,Race.white.alone.x,B02001_002M,Race.black.alone.x,B02001_003M,Race.native.alone.x,B02001_004M,Race.asian.alone.x,B02001_005M,Race.PI.alone.x,B02001_006M,Race.someother.alone.x,B02001_007M,Race.twoplus.x,B02001_008M,Median.hh.income,B19013_001M,Tenure.estimate.total.x,B25003_001M,Tenure.owner.x,B25003_002M,Tenure.renter.x,B25003_003M,AC_PHONE_N,AC_EMAIL,SHAPE_Leng_receiving,SHAPE_Area_receiving,Households.total,Income.aggregatecount,Race.asian.alone.y,Race.black.alone.y,Race.estimate.total.y,Race.native.alone.y,Race.PI.alone.y,Race.someother.alone.y,Race.twoplus.y,Race.white.alone.y,Tenure.estimate.total.y,Tenure.owner.y,Tenure.renter.y
LPA64 - SACRAMENTO COUNTY,SACRAMENTO,CA3400332,OXBOW MARINA (SWS),C,MWC,95,200,7/18/17,NA,Jul-17,Cal-Am Isleton,CA3410012,IOU,Arsenic,Quality,0,1,0,0,0,SWRCB,Voluntary Consolidation,Physical,Voluntary,HTTPS://WWW.WATERBOARDS.CA.GOV/DRINKING_WATER/CERTLIC/DRINKINGWATER/DOCUMENTS/PARTNERSHIP_SUCCESS/OXBOW_MARINA_MWC.PDF,-121.589959,38.150018,Both,NA,NA,No,No,GW,NA,GW,GW,1581,100 Oxbow Marina Dr. Isleton CA 95641,060670098001,"Block Group 1, Census Tract 98, Sacramento County, California",850,142,719,128,8,13,6,10,25,22,0,13,49,47,43,31,45054,12962,413,59,313,58,100,38,916-568-4278,audie.foster@amwater.com,10668.2976672,2112834.16257,17.525252446862886,806550.7970557178,1.3168372180337031,0.32316380768740977,36.638281959366395,0.24237285576555734,0,2.2468636000802906,1.78962552100735,30.719418956792083,17.525252446862886,13.183139536317011,4.342112910545876
LPA69 - SAN JOAQUIN COUNTY,SAN JOAQUIN,CA3900726,BENTLEY TRAILER COURT,C,MHP,28,84,9/4/2018,NA,Sep-18,California Water Service - Stockton,CA3910001,IOU,Arsenic,Quality,0,1,0,0,0,private,Voluntary Consolidation,Physical,Voluntary,NA,-121.258456,37.950917,Both,NA,NA,No,No,GW,NA,GW,SWP,173272,2189 E Taylor St. Stockton CA 95205,060770019001,"Block Group 1, Census Tract 19, San Joaquin County, California",1085,453,689,390,129,158,0,13,0,13,0,13,254,204,13,14,54667,22499,332,117,97,58,235,98,408-367-8314,sjames@calwater.com,100352.00064,162040975.289,51307.50251022039,NA,16082.754143695578,15344.783866591193,164219.12095614392,1239.1199661875287,493.3730672810461,24820.934790005467,22409.727510006836,83828.42761237627,51307.50251022039,21445.319469315586,29862.183040904805
LPA69 - SAN JOAQUIN COUNTY,SAN JOAQUIN,CA3901334,BJJ COMPANY LLC,NTNC,Private (other),1,40,6/19/19,NA,Jun-19,California Water Service - Stockton,CA3910001,IOU,Arsenic,Quality,0,1,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-121.2613068,37.9611702,Both,NA,NA,No,No,GW,NA,GW,SWP,173272,2431 E Mariposa Rd Stockton CA 95205,060770021002,"Block Group 2, Census Tract 21, San Joaquin County, California",1135,368,772,350,187,132,0,13,74,109,0,13,102,114,0,13,37500,25915,384,116,208,87,176,94,408-367-8314,sjames@calwater.com,100352.00064,162040975.289,51307.50251022039,NA,16082.754143695578,15344.783866591193,164219.12095614392,1239.1199661875287,493.3730672810461,24820.934790005467,22409.727510006836,83828.42761237627,51307.50251022039,21445.319469315586,29862.183040904805
LPA70 - SAN LUIS OBISPO COUNTY,SAN LUIS OBISPO,CA4000512,BELLA VISTA MOBILE LODGE,C,MHP,84,200,10/20/17,NA,Oct-17,Paso Robles Beach Water Association,CA4010006,MWC,Arsenic,Quality,0,1,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-120.908411,35.451219,Both,cayucos beach mutual water company is the same thing,NA,No,No,GW,NA,GW,SWP,2373,2350 N Ocean Ave Cayucos CA 93430,060790105041,"Block Group 1, Census Tract 105.04, San Luis Obispo County, California",605,236,513,238,0,13,0,13,50,39,0,13,0,13,42,50,57292,13915,322,109,133,59,189,92,805-995-3766,cayucosbeachmutualwatercompany@gmail.com,9518.64529793,989553.239438,169.1571732622262,9812959.486455895,5.573130247147659,0,334.9146600051103,0,0,2.590424028918602,12.571120878538975,314.1799848505051,169.1571732622262,87.60804045851428,81.5491328037119
DISTRICT 04 - SAN FRANCISCO,SOLANO,CA4810037,SOLANO COUNTY CORDELIA STATE,NC,County (other),1,30,5/3/19,NA,May-19,City of Fairfield,CA4810003,City,Arsenic,Quality,0,1,0,0,0,Solano County,Voluntary Consolidation,Physical,Voluntary,NA,-122.1062682,38.2312779,Both,NA,NA,No,No,GW,NA,GW,SW,112140,2543 CORDELIA RD FAIRFIELD CA 94534-1676,060952523051,"Block Group 1, Census Tract 2523.05, Solano County, California",1682,542,736,407,53,82,0,13,676,323,0,13,148,115,69,68,106927,17340,559,170,324,140,235,97,707-428-7485,MHether@fairfield.ca.gov,155460.705745,98404824.6157,27738.07207352181,NA,11952.541843261724,14280.765796961809,85087.25473470826,489.97848377133903,1284.6956692563826,9201.128407039918,8940.566909043975,38937.57762537312,27738.07207352181,15624.390566317097,12113.681507204714
DISTRICT 18 - SONOMA,SONOMA,CA4900855,WEST FIELD COMMUNITY,C,MHP,29,75,NA,Aug-16,Aug-16,"SONOMA, CITY OF",CA4910012,City,Arsenic,Quality,0,1,0,0,0,SWRCB,Regionalization,Physical,Voluntary,https://www.waterboards.ca.gov/drinking_water/certlic/drinkingwater/documents/partnership_success/city_of_santa_rosa.pdf,-122.714815,38.39102,Tool,NA,NA,No,No,GW,NA,GW,GW,11923,3521 Santa Rosa Avenue SANTA ROSA CA 95407,060971514053,"Block Group 3, Census Tract 1514.05, Sonoma County, California",955,431,770,397,36,54,0,13,0,13,0,13,103,165,46,57,67642,33572,283,102,143,73,140,90,707-933-2213,gtoy@sonomacity.org,49863.8970218,12114532.8838,3876.279704576478,NA,207.9439740032335,80.00233717182253,8105.047581798243,0.30640137221765074,0.05065094152556524,139.77034816919476,411.2572378642467,7265.716632276002,3876.279704576478,2340.7850908522046,1535.4946137242732
DISTRICT 18 - SONOMA,SONOMA,CA4900786,RANCHO SANTA ROSA MHP,C,MHP,80,175,NA,Aug-16,Aug-16," SANTA ROSA, CITY OF",CA4910009,City,Arsenic,Quality,0,1,0,0,0,SWRCB,Regionalization,Physical,Voluntary,https://www.waterboards.ca.gov/drinking_water/certlic/drinkingwater/documents/partnership_success/city_of_santa_rosa.pdf,-122.7148542,38.3933998,Tool,NA,NA,No,No,GW,NA,GW,GW,173648,3455 Santa Rosa Avenue SANTA ROSA CA 95407,060971514053,"Block Group 3, Census Tract 1514.05, Sonoma County, California",955,431,770,397,36,54,0,13,0,13,0,13,103,165,46,57,67642,33572,283,102,143,73,140,90,707-543-3975,tllamas@srcity.org,97471.7275708,189298667.7,65834.95494796787,NA,10353.206527136967,4534.441732404074,179812.64823848903,1931.88310037241,1028.123268557791,36405.31656450827,13201.08252373183,112358.59452177769,65834.95494796787,35557.2667004517,30277.688247516173
DISTRICT 18 - SONOMA,SONOMA,CA4901195,MOORLAND AVENUE APARTMENTS,C,Private (other),4,64,NA,Aug-16,Aug-16,SONOMA COUNTY CSA 41-FITCH MOUNTAIN,CA4910010,CSA,Arsenic,Quality,0,1,0,0,0,SWRCB,Regionalization,Physical,Voluntary,https://www.waterboards.ca.gov/drinking_water/certlic/drinkingwater/documents/partnership_success/city_of_santa_rosa.pdf,-122.716746,38.399821,Tool,NA,NA,No,No,GW,NA,GW,GWP,1115,3200 Moorland Avenue SANTA ROSA CA 95407,060971532022,"Block Group 2, Census Tract 1532.02, Sonoma County, California",3074,881,741,766,0,13,0,13,33,53,0,13,1526,688,774,774,75925,45227,801,235,205,100,596,234,707-565-7947,glenn.morelli@sonoma-county.org,11275.8669822,3479435.99674,176.05244053932128,15971138.24082711,2.362777010237534,1.4941394785148565,459.91979557008165,0,0,102.09153536583763,18.432154206320142,335.5391895091715,176.05244053932128,123.41008865943611,52.642351879885176
DISTRICT 18 - SONOMA,SONOMA,CA4900676,SEQUOIA GARDENS MOBILE HOME PARK,C,MHP,192,300,NA,Aug-16,Aug-16,"SEBASTOPOL, CITY OF",CA4910011,City,Arsenic,Quality,0,1,0,0,0,SWRCB,Regionalization,Physical,Voluntary,https://www.waterboards.ca.gov/drinking_water/certlic/drinkingwater/documents/partnership_success/city_of_santa_rosa.pdf,-122.772047,38.444094,Tool,NA,NA,No,No,GW,NA,GW,GW,7786,433 Fulton Road SANTA ROSA CA 95401,060971530053,"Block Group 3, Census Tract 1530.05, Sonoma County, California",952,226,872,226,0,13,0,13,62,87,0,13,18,32,0,13,43036,22945,551,128,348,77,203,122,707-823-5331,ddelprete@cityofsebastopol.org,26429.0358435,7762091.54171,2240.42427636417,NA,189.0166151938173,136.4830595828298,5241.110422746799,0,6.193226131939685,374.6321370965527,260.5231730576448,4274.262211684015,2240.42427636417,1200.3721559932799,1040.0521203708902
LPA80 - STANISLAUS COUNTY,STANISLAUS,CA5000051,MOBILE PLAZA PARK,C,MHP,50,125,5/29/19,NA,May-19,Keyes CSD,CA5010009,CSD,Arsenic,Quality,0,1,0,0,0,SWRCB,Regionalization,Physical,Voluntary,https://www.waterboards.ca.gov/drinking_water/certlic/drinkingwater/documents/partnership_success/keyes_story.pdf,-120.929337,37.569043,Both,NA,NA,No,No,GW,NA,GW,GW,5999,4812 Esmar Rd Ceres CA 95307,060990030022,"Block Group 2, Census Tract 30.02, Stanislaus County, California",2020,668,1575,650,15,28,0,13,0,13,0,13,283,195,147,162,65298,42132,546,148,412,121,134,98,209-668-8341,EGARZA@keyescsd.org,14498.1690612,2910169.55248,544.1812151855132,20362313.33214039,8.386721136872074,17.46254117808625,1793.8084534490188,15.268133351741469,0,253.78163632519005,408.9746426475769,1089.9347788095517,544.1812151855132,153.392400681822,390.78881450369124
LPA80 - STANISLAUS COUNTY,STANISLAUS,CA5000057,ORCHARD VILLAGE MHP,C,MHP,49,75,5/29/19,NA,May-19,Keyes CSD,CA5010009,CSD,Arsenic,Quality,0,1,0,0,0,SWRCB,Regionalization,Physical,Voluntary,https://www.waterboards.ca.gov/drinking_water/certlic/drinkingwater/documents/partnership_success/keyes_story.pdf,-120.938564,37.585248,Both,NA,NA,No,No,GW,NA,GW,GW,5999,4920 Faith Home Rd Ceres CA 95307,060990030024,"Block Group 4, Census Tract 30.02, Stanislaus County, California",1990,784,1581,741,0,13,71,91,39,45,0,13,244,279,55,69,52077,14608,572,191,456,179,116,102,209-668-8341,EGARZA@keyescsd.org,14498.1690612,2910169.55248,544.1812151855132,20362313.33214039,8.386721136872074,17.46254117808625,1793.8084534490188,15.268133351741469,0,253.78163632519005,408.9746426475769,1089.9347788095517,544.1812151855132,153.392400681822,390.78881450369124
LPA80 - STANISLAUS COUNTY,STANISLAUS,CA5000085,GREEN RUN MOBILE ESTATES,C,MHP,46,100,5/29/19,NA,May-19,Keyes CSD,CA5010009,CSD,Arsenic,Quality,0,1,0,0,0,SWRCB,Regionalization,Physical,Voluntary,https://www.waterboards.ca.gov/drinking_water/certlic/drinkingwater/documents/partnership_success/keyes_story.pdf,-120.900048,37.552253,Both,NA,NA,No,No,GW,NA,GW,GW,5999,5061 Nunes Rd. Turlock CA 95382,060990029015,"Block Group 5, Census Tract 29.01, Stanislaus County, California",1218,378,1009,357,0,13,0,13,0,13,0,13,22,31,187,139,58795,27148,389,79,293,75,96,63,209-668-8341,EGARZA@keyescsd.org,14498.1690612,2910169.55248,544.1812151855132,20362313.33214039,8.386721136872074,17.46254117808625,1793.8084534490188,15.268133351741469,0,253.78163632519005,408.9746426475769,1089.9347788095517,544.1812151855132,153.392400681822,390.78881450369124
LPA80 - STANISLAUS COUNTY,STANISLAUS,CA5000086,COUNTRYSIDE MHP,NP,MHP,44,60,3/14/19,NA,Mar-19,Keyes CSD,CA5010009,CSD,Arsenic,Quality,0,1,0,0,0,SWRCB,Regionalization,Physical,Voluntary,https://www.waterboards.ca.gov/drinking_water/certlic/drinkingwater/documents/partnership_success/keyes_story.pdf,-120.895532,37.543037,Both,Excel data listed system type as C,NA,No,No,GW,NA,GW,GW,5999,4124 W BARNHART ROAD TURLOCK CA 95382,060990036033,"Block Group 3, Census Tract 36.03, Stanislaus County, California",1599,664,1484,657,0,13,0,13,33,37,0,13,82,136,0,13,64693,17106,603,233,334,179,269,155,209-668-8341,EGARZA@keyescsd.org,14498.1690612,2910169.55248,544.1812151855132,20362313.33214039,8.386721136872074,17.46254117808625,1793.8084534490188,15.268133351741469,0,253.78163632519005,408.9746426475769,1089.9347788095517,544.1812151855132,153.392400681822,390.78881450369124
LPA80 - STANISLAUS COUNTY,STANISLAUS,CA5000484,UNITED PALLET SERVICES INC WATER SYSTEM,NTNC,Private (other),5,45,9/24/18,NA,Sep-18,City of Ceres,CA5010028,City,Arsenic,Quality,0,1,0,0,0,private,Voluntary Consolidation,Physical,Voluntary,NA,-120.9942852,37.5788277,Both,Excel data said system type was NC,NA,No,No,GW,NA,GW,GW,48706,4043 Crows Landing Rd Modesto CA 95358,060990031003,"Block Group 3, Census Tract 31, Stanislaus County, California",2184,565,1901,494,0,13,25,23,166,232,0,13,85,112,7,11,43864,22952,742,170,329,112,413,178,209-538-5717,jeremy.damas@ci.ceres.ca.us,35610.219176,24440450.4274,10371.2353070879,NA,1145.1642117688968,1038.8712230207805,36077.244838285245,375.71388616428857,277.98703724750203,5862.27002135943,4496.84803193611,22880.390426788235,10371.2353070879,5845.371517550197,4525.863789537703
LPA80 - STANISLAUS COUNTY,STANISLAUS,CA5000570,INTERSTATE TRUCK CENTER VALLEY PETERBILT,NC,Private (other),2,23,4/28/2021,NA,Apr-21,KEYES COMMUNITY SERVICES DIST.,CA5010009,CSD,ARSENIC,Quality,0,1,0,0,0,Private,Regionalization,Physical,Voluntary,NA,-120.9009194,37.5460416,Both,Notes in partnership tool clarify that the stub out was provided by the keyes regionalization project. Excel data said system type of NP,NA,No,No,GW,NA,GW,GW,5999,5837 N GOLDEN STATE BLVD TURLOCK CA 95382,060990036033,"Block Group 3, Census Tract 36.03, Stanislaus County, California",1599,664,1484,657,0,13,0,13,33,37,0,13,82,136,0,13,64693,17106,603,233,334,179,269,155,209-668-8341,EGARZA@keyescsd.org,14498.1690612,2910169.55248,544.1812151855132,20362313.33214039,8.386721136872074,17.46254117808625,1793.8084534490188,15.268133351741469,0,253.78163632519005,408.9746426475769,1089.9347788095517,544.1812151855132,153.392400681822,390.78881450369124
LPA82 - TEHAMA COUNTY,TEHAMA,CA5200550,NEW ORCHARD MOBILE HOME PARK LLC,C,MHP,50,125,8/31/2021,June.2021,Aug-21,LOS MOLINOS COMM. SERVICES DIST.,CA5210003,CSD,ARSENIC,Quality,0,1,0,0,0,SWRCB,Regionalization,Physical,Voluntary,https://www.waterboards.ca.gov/drinking_water/certlic/drinkingwater/docs/neworchard_story.pdf,-122.101887,40.035619,Both,NA,NA,No,No,GW,NA,GW,GW,1450,8255 HIGHWAY 99 E LOS MOLINOS CA 96055,061030009002,"Block Group 2, Census Tract 9, Tehama County, California",1291,480,1006,396,0,13,7,11,0,13,0,13,51,51,227,238,25972,17412,470,133,324,93,146,88,530-384-2737,jglowden54@gmail.com,6939.69230202,918162.900227,42.11731972893787,1110404.0351094082,0.04123596337632019,0,115.78313279619086,0.621832970691604,0,4.567065099003274,20.233622166659035,90.31937659646061,42.11731972893787,28.9617097722257,13.155609956712173
LPA82 - TEHAMA COUNTY,TEHAMA,CA5200550,NEW ORCHARD MOBILE HOME PARK LLC,C,MHP,50,125,8/31/2021,June.2021,Aug-21,LOS MOLINOS COMM. SERVICES DIST.,CA5210003,CSD,ARSENIC,Quality,0,1,0,0,0,SWRCB,Regionalization,Physical,Voluntary,https://www.waterboards.ca.gov/drinking_water/certlic/drinkingwater/docs/neworchard_story.pdf,-122.101887,40.035619,Both,NA,NA,No,No,GW,NA,GW,GW,1450,8255 HIGHWAY 99 E LOS MOLINOS CA 96055,061030009002,"Block Group 2, Census Tract 9, Tehama County, California",1291,480,1006,396,0,13,7,11,0,13,0,13,51,51,227,238,25972,17412,470,133,324,93,146,88,530-384-2737,jglowden54@gmail.com,6939.69230202,918162.900227,42.11731972893787,1110404.0351094082,0.04123596337632019,0,115.78313279619086,0.621832970691604,0,4.567065099003274,20.233622166659035,90.31937659646061,42.11731972893787,28.9617097722257,13.155609956712173
